,GDP,PRFI,PNFI,TCU,PCDG,H-GFI,H-GDP,Investment share,Housing share,Durables,Year
1947-03-31,243.16400000000002,10.540999999999999,24.818,,20.721999999999998,0.42473204931904257,0.043349344475333514,0.10206280534947608,0.043349344475333514,0.08521820664243061,1947
1947-06-30,245.968,10.573,25.171,,21.351,0.42004687934527835,0.04298526637611397,0.10233445000975737,0.04298526637611397,0.08680397450074806,1947
1947-09-30,249.585,12.466,25.361,,21.77,0.4915421316194156,0.04994691187371036,0.10161267704389286,0.04994691187371036,0.08722479315664002,1947
1947-12-31,259.745,15.254000000000001,26.54,,23.488000000000003,0.5747550866616429,0.05872682823538471,0.10217713526728137,0.05872682823538471,0.0904271497045179,1947
1948-03-31,265.742,15.345,28.230999999999998,,23.546999999999997,0.5435514151110482,0.057743977241083454,0.10623461853978669,0.057743977241083454,0.08860849997365865,1948
1948-06-30,272.567,16.427,28.05,,24.019000000000002,0.585632798573975,0.060267750681483816,0.10291047705701717,0.060267750681483816,0.08812145270704085,1948
1948-09-30,279.19599999999997,16.283,29.081,,25.276999999999997,0.5599188473573812,0.058321036117995974,0.10415980171635698,0.058321036117995974,0.0905349646843078,1948
1948-12-31,280.366,15.177,30.16,,24.971,0.5032161803713527,0.05413281210988494,0.10757367155789219,0.05413281210988494,0.08906572123581319,1948
1949-03-31,275.034,14.169,28.583000000000002,,24.436,0.4957142357345275,0.05151726695608543,0.10392533286793634,0.05151726695608543,0.08884719707381633,1949
1949-06-30,271.351,13.913,27.476,,26.389,0.5063691949337604,0.0512730743575664,0.10125630640756805,0.0512730743575664,0.09725042472664557,1949
1949-09-30,272.889,14.744000000000002,26.112,,27.313000000000002,0.5646446078431373,0.054029293962013863,0.09568725745632839,0.054029293962013863,0.10008831429628898,1949
1949-12-31,270.627,16.538,25.628,,28.355999999999998,0.6453098173872327,0.061109940988888764,0.09469860730821389,0.061109940988888764,0.10477890232681882,1949
1950-03-31,280.828,18.339000000000002,26.386,,29.335,0.6950276661866143,0.06530331733302948,0.09395786744911476,0.06530331733302948,0.10445895708405147,1950
1950-06-30,290.383,20.603,28.855,,29.799,0.7140183677005719,0.07095112317181103,0.0993687647004129,0.07095112317181103,0.10261964371192529,1950
1950-09-30,308.153,22.555,31.91,,37.355,0.7068317141961767,0.0731941600438743,0.10355245608512653,0.0731941600438743,0.12122224998620813,1950
1950-12-31,319.945,21.478,32.919000000000004,,33.292,0.6524499529147301,0.06713028801825315,0.10288955914297772,0.06713028801825315,0.10405538451921424,1950
1951-03-31,336.0,21.057,33.139,,35.638000000000005,0.6354144663387549,0.06266964285714285,0.0986279761904762,0.06266964285714285,0.10606547619047621,1951
1951-06-30,344.09,18.467,34.124,,30.735,0.5411733677177353,0.05366909820105205,0.09917172832689124,0.05366909820105205,0.08932256095788893,1951
1951-09-30,351.385,17.398,34.843,,30.193,0.4993255460207215,0.04951264282766766,0.09915904207635501,0.04951264282766766,0.08592569403930163,1951
1951-12-31,356.17800000000005,17.723,34.641999999999996,,30.391,0.5116044108307835,0.04975882845094306,0.09726035858475254,0.04975882845094306,0.08532531487065455,1951
1952-03-31,359.82,18.269000000000002,35.131,,30.776,0.5200250491019328,0.05077260852648547,0.09763492857539881,0.05077260852648547,0.08553165471624702,1952
1952-06-30,361.03,18.762999999999998,35.765,,31.006999999999998,0.5246190409618341,0.05197075035315624,0.09906378971276626,0.05197075035315624,0.08588482951555272,1952
1952-09-30,367.70099999999996,18.754,32.891999999999996,,29.467,0.570169038063967,0.05100339678162421,0.0894531154389028,0.05100339678162421,0.08013848208190895,1952
1952-12-31,380.81199999999995,19.647000000000002,35.816,,33.723,0.5485537190082644,0.0515923867945338,0.09405165803598628,0.0515923867945338,0.08855550770458914,1952
1953-03-31,387.98,19.982,37.791,,35.186,0.5287502315366093,0.051502654776019376,0.0974045053868756,0.051502654776019376,0.09069024176503943,1953
1953-06-30,391.749,20.073,38.465,,35.019,0.5218510334069933,0.051239441581216544,0.0981878702944998,0.051239441581216544,0.08939142154798096,1953
1953-09-30,391.171,19.49,39.614000000000004,,34.577,0.49199777856313415,0.04982475694772874,0.10127028844162785,0.04982475694772874,0.0883935670077792,1953
1953-12-31,385.97,19.250999999999998,39.2,,33.683,0.4910969387755101,0.04987693344042282,0.10156229758789544,0.04987693344042282,0.08726844055237452,1953
1954-03-31,385.345,19.351,38.332,,32.91,0.5048262548262548,0.050217337710363436,0.09947449687941974,0.050217337710363436,0.08540398863356212,1954
1954-06-30,386.121,20.668000000000003,38.159,,33.646,0.5416284493828456,0.05352726217947225,0.09882653365136836,0.05352726217947225,0.08713848767614298,1954
1954-09-30,390.996,22.183000000000003,38.879,,33.233000000000004,0.5705650865505801,0.05673459575034017,0.09943579985472997,0.05673459575034017,0.08499575443227042,1954
1954-12-31,399.73400000000004,23.565,38.89,,35.064,0.6059398302905632,0.05895170288241681,0.09728969764893654,0.05895170288241681,0.08771833269123967,1954
1955-03-31,413.07300000000004,25.419,39.48,,38.437,0.6438449848024317,0.06153633861327174,0.09557632670254408,0.06153633861327174,0.09305134927724638,1955
1955-06-30,421.532,26.005,42.063,,40.709,0.6182393077051089,0.061691639068920036,0.09978601861780365,0.061691639068920036,0.09657392558572067,1955
1955-09-30,430.221,25.625999999999998,44.826,,42.42100000000001,0.5716771516530584,0.05956473533370058,0.10419296129198714,0.05956473533370058,0.09860281111335803,1955
1955-12-31,437.092,24.565,47.085,,41.413000000000004,0.5217160454497186,0.056200982859443784,0.10772331683032406,0.056200982859443784,0.09474664372717873,1955
1956-03-31,439.746,24.131999999999998,47.772,,39.674,0.5051494599346897,0.05487713361804314,0.10863543954919432,0.05487713361804314,0.09022026351575682,1956
1956-06-30,446.01,24.374000000000002,49.062,,39.819,0.49679996738820276,0.05464899890136993,0.11000201789197551,0.05464899890136993,0.0892782673034237,1956
1956-09-30,451.191,23.951999999999998,50.746,,39.685,0.4719977929294919,0.05308616528255218,0.1124712150729957,0.05308616528255218,0.08795609841508364,1956
1956-12-31,460.463,23.491,51.41,,41.497,0.4569344485508656,0.05101604254847838,0.11164849292994224,0.05101604254847838,0.09012016166336925,1956
