Case,OECD,Government Size,Regulatory Efficiency,Open Markets,Rule of Law,Growth,Public Debt/GDP,Primary Outcome/GDP,CA Balance/GDP,Capital Acc/GDP,Rating
AGO_1995,FALSE,72.3333333333333,37.3333333333333,28.3333333333333,23,36.0541265742391,1.60986252167915,,15.0462788647935,0,0.35
AGO_1996,FALSE,72.3333333333333,37.3333333333333,28.3333333333333,23,30.1538117109961,1.6430895792952,,2.36963459590003,0,0.35
AGO_1997,FALSE,72.3333333333333,37.3333333333333,28.3333333333333,23,29.1117661151407,1.66498047508361,,1.85185479225596,0,0.35
AGO_1998,FALSE,72.3333333333333,37.3333333333333,28.3333333333333,23,28.8740383514351,1.74468580109981,,1.86084786618992,0,0.35
AGO_1999,FALSE,72.3333333333333,37.3333333333333,28.3333333333333,23,26.223520830872,1.79729590198203,,2.66270462888336,0,0.35
AGO_2000,FALSE,72.3333333333333,37.3333333333333,28.3333333333333,23,27.6585602357914,1.72604124918827,,2.56129875459484,0,0.35
AGO_2001,FALSE,72.3333333333333,37.3333333333333,49.3333333333333,23,25.418790801566,1.69861578856715,,0.646033884434016,0,0.35
AGO_2002,FALSE,72.3333333333333,37.3333333333333,49.3333333333333,23,45.2307288387836,1.46403776434066,,0.283566450506938,0,0.35
AGO_2003,FALSE,72.3333333333333,37.3333333333333,49.3333333333333,23,26.0840315504821,1.17013440343063,,0.11574695487794,0,0.35
AGO_2004,FALSE,72.3333333333333,37.3333333333333,49.3333333333333,23,7.8407187479645,1.02261419820781,,0.145283557864389,0,0.35
AGO_2005,FALSE,72.3333333333333,37.3333333333333,49.3333333333333,23,10.8378086879647,0.718130809266149,,0.216450459523026,0,0.35
AGO_2006,FALSE,72.3333333333333,37.3333333333333,49.3333333333333,23,4.4523200085268,0.390141103903814,,0.242295092690373,0,0.35
AGO_2007,FALSE,72.3333333333333,42.6333333333333,44.3333333333333,23,2.77168872651013,0.349973738849256,,0.254816881300397,0,0.35
AGO_2008,FALSE,72.3333333333333,45.3333333333333,44.3333333333333,23,9.72759436356409,0.346407161800695,,0.327595105034954,0,0.35
AGO_2009,FALSE,72.3333333333333,49.6333333333333,44,23,5.62529383857014,0.412173360156592,,0.116802153104035,0,0.35
AGO_2010,FALSE,72.3333333333333,50.4,48.4666666666667,23,6.74333537127239,0.76692247684005,,0.21038123838291,0,0.35
AGO_2011,FALSE,72.3333333333333,48.5,48.4,23,7.18617801712859,0.586495687858179,,0.199320227189633,0,0.4
AGO_2012,FALSE,72.3333333333333,50.2,46.7333333333333,23,5.90735630334659,0.492466266313427,,0.167607205287216,0,0.4
AGO_2013,FALSE,72.3333333333333,49.8,48.4,23,2.57653918058349,0.562021451214782,,0.100929713812653,0,0.4
AGO_2014,FALSE,72.3333333333333,50.4,50.0333333333333,23,2.35482750483092,0.689209338420011,,0.0715960095343211,0,0.4
AGO_2015,FALSE,72.3333333333333,52,50.0666666666667,23,-0.85255697089977,1.07445742720447,,0.0389435998881261,0,0.3625
AGO_2016,FALSE,72.3333333333333,55.7666666666667,50.0666666666667,23,6.10891692215181,1.11329164453116,,0.0302492000619734,0,0.3125
AGO_2017,FALSE,72.3333333333333,56.5,42.2333333333333,23,4.79506710277691,1.11329164453116,,0.031294031524992,0,0.25
AGO_2018,FALSE,68.7666666666667,55.9,43.1666666666667,26.7666666666667,6.80659280275334,1.03385089619016,,0.0272581237251005,0,0.3
AGO_2019,FALSE,74.2666666666667,56.6333333333333,43.7333333333333,27.6666666666667,6.76535409344936,1.03385089619016,,0.0181127215419507,0,0.275
AGO_2020,FALSE,81.6333333333333,59.4666666666667,45.4,22.1,0,1.03385089619016,,0.016456679770232,0,0.2
AGO_2021,FALSE,84.0333333333333,61.3333333333333,46.7333333333333,24.5,0,1.0735759180011,,0.0175042475378133,0,0.2
ALB_1995,FALSE,70.3,63,59.6666666666667,40.7333333333333,3.89284294786323,1.15668996766819,,-0.56943037554912,0,0.35
ALB_1996,FALSE,70.3,63,59.6666666666667,40.7333333333333,3.25577303970022,1.18056368587833,,-0.0896794436672869,0,0.35
ALB_1997,FALSE,70.3,63,53,40.7333333333333,3.14326109628024,1.19629234543822,,-0.0700839310033098,0,0.35
ALB_1998,FALSE,70.3,63,53,40.7333333333333,3.11759310938428,1.25356080763989,,-0.0704242762483748,0,0.35
ALB_1999,FALSE,70.3,63,52.6,40.7333333333333,2.83141093223832,1.29136128753739,,-0.1007707560405,0,0.35
ALB_2000,FALSE,70.3,63,52.6,40.7333333333333,2.98635527725923,1.24016465370914,,-0.096933024093758,0,0.35
ALB_2001,FALSE,70.3,63,54.6,40.7333333333333,2.74452246988528,1.28418777287349,,-0.0858073640287528,0,0.35
ALB_2002,FALSE,70.3,63,61.1333333333333,40.7333333333333,2.14586012302844,1.28597688145956,,-0.0779542652250497,0,0.35
ALB_2003,FALSE,70.3,63,58.7333333333333,40.7333333333333,2.88096694730073,1.17941319077996,,-0.0767761580117775,0,0.35
ALB_2004,FALSE,70.3,63,60.4666666666667,40.7333333333333,1.44247051243279,1.13127583111329,,-0.085628759446803,0.0425848137996065,0.35
ALB_2005,FALSE,70.3,63,60.0666666666667,40.7333333333333,1.53222403546827,1.16960161768668,,-0.105874843399947,0.0332252529129225,0.35
ALB_2006,FALSE,70.3,63,67.4666666666667,40.7333333333333,1.23897841516256,1.18291055413581,,-0.11523824032173,0.0274100021544896,0.35
ALB_2007,FALSE,70.3,64.7,67.7333333333333,40.7333333333333,1.5574266617897,1.16654475455498,,-0.131539359699899,0.0196592866342647,0.35
ALB_2008,FALSE,70.3,61.8333333333333,71.9333333333333,40.7333333333333,3.54784122948597,1.14743678369888,,-0.178749349293438,0.0243451962114493,0.35
ALB_2009,FALSE,70.3,64.6,71.9333333333333,40.7333333333333,-2.05214316634365,1.08292761046964,,-0.106346287658621,0.0147145260928471,0.35
