ISO,Year,Overall Score,Rule of Law,Government Size,Regulatory Efficiency,Open Markets
AFG,1995,,,,,
AFG,1996,,,,,
AFG,1997,,,,,
AFG,1998,,,,,
AFG,1999,,,,,
AFG,2000,,,,,
AFG,2001,,,,,
AFG,2002,,,,,
AFG,2003,,,,,
AFG,2004,,,,,
AFG,2005,,,,,
AFG,2006,,,,,
AFG,2007,,,,,
AFG,2008,,,,,
AFG,2009,,,,,
AFG,2010,,,,,
AFG,2011,,,,,
AFG,2012,,,,,
AFG,2013,,,,68.3333333333333,
AFG,2014,,,,70.8,
AFG,2015,,,,67.1666666666667,
AFG,2016,,,,,
AFG,2017,48.9,22.8333333333333,89.6,61.1333333333333,22
AFG,2018,51.3,24.1,89.8,62.7,28.6666666666667
AFG,2019,51.5,24.8,90.4333333333333,62.1,28.6666666666667
AFG,2020,54.7,34.3666666666667,90.1666666666667,65.7666666666667,28.6666666666667
AFG,2021,53,28.3666666666667,89.0333333333333,64.8666666666667,29.5333333333333
AGO,1995,27.4,,,,28.3333333333333
AGO,1996,24.4,,,,28.3333333333333
AGO,1997,24.2,,,,28.3333333333333
AGO,1998,24.9,,,,28.3333333333333
AGO,1999,23.7,,,,28.3333333333333
AGO,2000,24.3,,,,28.3333333333333
AGO,2001,,,,,
AGO,2002,,,,,
AGO,2003,,,,,
AGO,2004,,,,,
AGO,2005,,,,,
AGO,2006,43.5,,,37.3333333333333,49.3333333333333
AGO,2007,44.7,,,42.6333333333333,44.3333333333333
AGO,2008,46.9,,,45.3333333333333,44.3333333333333
AGO,2009,47,,,49.6333333333333,44
AGO,2010,48.4,,,50.4,48.4666666666667
AGO,2011,46.2,,,48.5,48.4
AGO,2012,46.7,,,50.2,46.7333333333333
AGO,2013,47.3,,,49.8,48.4
AGO,2014,47.7,,,50.4,50.0333333333333
AGO,2015,47.9,,,52,50.0666666666667
AGO,2016,48.9,,,55.7666666666667,50.0666666666667
AGO,2017,48.5,23,72.3333333333333,56.5,42.2333333333333
AGO,2018,48.6,26.7666666666667,68.7666666666667,55.9,43.1666666666667
AGO,2019,50.6,27.6666666666667,74.2666666666667,56.6333333333333,43.7333333333333
AGO,2020,52.2,22.1,81.6333333333333,59.4666666666667,45.4
AGO,2021,54.2,24.5,84.0333333333333,61.3333333333333,46.7333333333333
ALB,1995,49.7,,,,59.6666666666667
ALB,1996,53.8,,,,59.6666666666667
ALB,1997,54.8,,,,53
ALB,1998,53.9,,,,53
ALB,1999,53.4,,,,52.6
ALB,2000,53.6,,,,52.6
ALB,2001,56.6,,,,54.6
ALB,2002,56.8,,,,61.1333333333333
ALB,2003,56.8,,,,58.7333333333333
ALB,2004,58.5,,,,60.4666666666667
ALB,2005,57.8,,,63,60.0666666666667
ALB,2006,60.3,,,63,67.4666666666667
ALB,2007,61.4,,,64.7,67.7333333333333
ALB,2008,62.4,,,61.8333333333333,71.9333333333333
ALB,2009,63.7,,,64.6,71.9333333333333
ALB,2010,66,,,66.2666666666667,75.2666666666667
ALB,2011,64,,,65.8,71.6
ALB,2012,65.1,,,69.2666666666667,71.6
ALB,2013,65.2,,,69.4666666666667,71.6
ALB,2014,66.9,,,69.2666666666667,77.5
ALB,2015,65.7,,,68.1,75.9333333333333
ALB,2016,65.9,,,66.9333333333333,75.8666666666667
ALB,2017,64.4,40.7333333333333,70.3,70.4666666666667,75.9
