ISO,Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom,Rule of Law,Government Size,Regulatory Efficiency,Open Markets
AFG,1995,,,,,,,,,,,,,,,,,
AFG,1996,,,,,,,,,,,,,,,,,
AFG,1997,,,,,,,,,,,,,,,,,
AFG,1998,,,,,,,,,,,,,,,,,
AFG,1999,,,,,,,,,,,,,,,,,
AFG,2000,,,,,,,,,,,,,,,,,
AFG,2001,,,,,,,,,,,,,,,,,
AFG,2002,,,,,,,,,,,,,,,,,
AFG,2003,,,,,,,,,,,,,,,,,
AFG,2004,,,,,,,,,,,,,,,,,
AFG,2005,,,,,,,,,,,,,,,,,
AFG,2006,,,,,,,,,,,,,,,,,
AFG,2007,,,,,,,,,,,,,,,,,
AFG,2008,,,,,,,,,,,,,,,,,
AFG,2009,,,,,,,,,,,,,,,,,
AFG,2010,,,,,,,,,,,,,,,,,
AFG,2011,,,,,,,,,,,,,,,,,
AFG,2012,,,,,,,,,,,,,,,,,
AFG,2013,,,15,,,83.2,,59.7,75.8,69.5,,65,,,,68.3333333333333,
AFG,2014,,,10,,91.2,84.2,,63.1,75,74.3,,65,,,,70.8,
AFG,2015,,,8,,91.7,81.2,,61.4,67.5,72.6,,55,,,,67.1666666666667,
AFG,2016,,,12,,91.6,81.2,,56.6,63.2,,,55,,,,,
AFG,2017,48.9,12.6,27.5,28.4,91.6,79.9,97.3,54.2,59.9,69.3,66,0,0,22.8333333333333,89.6,61.1333333333333,22
AFG,2018,51.3,17.9,26.2,28.2,91.8,79.3,98.3,53,57.3,77.8,66,10,10,24.1,89.8,62.7,28.6666666666667
AFG,2019,51.5,19.6,25.2,29.6,91.7,80.3,99.3,49.2,60.4,76.7,66,10,10,24.8,90.4333333333333,62.1,28.6666666666667
AFG,2020,54.7,48.3,24.8,30,91.4,79.2,99.9,54.7,61.6,81,66,10,10,34.3666666666667,90.1666666666667,65.7666666666667,28.6666666666667
AFG,2021,53,30.3,29.1,25.7,91.1,76.1,99.9,53.9,59.9,80.8,68.6,10,10,28.3666666666667,89.0333333333333,64.8666666666667,29.5333333333333
AGO,1995,27.4,30,30,,61.6,0,,40,,0,25,30,30,,,,28.3333333333333
AGO,1996,24.4,30,10,,54.6,0,,40,,0,25,30,30,,,,28.3333333333333
AGO,1997,24.2,30,10,,52.6,0,,40,,0,25,30,30,,,,28.3333333333333
AGO,1998,24.9,30,10,,59.1,0,,40,,0,25,30,30,,,,28.3333333333333
AGO,1999,23.7,30,10,,47.9,0,,40,,0,25,30,30,,,,28.3333333333333
AGO,2000,24.3,30,10,,53.4,0,,40,,0,25,30,30,,,,28.3333333333333
AGO,2001,,,,,,,,,,,,,,,,,
AGO,2002,,,,,,,,,,,,,,,,,
AGO,2003,,,,,,,,,,,,,,,,,
AGO,2004,,,,,,,,,,,,,,,,,
AGO,2005,,,,,,,,,,,,,,,,,
AGO,2006,43.5,30,20,,84.9,40.1,,26.8,44.9,40.3,68,30,50,,,37.3333333333333,49.3333333333333
AGO,2007,44.7,20,20,,85,61.6,,35.3,44.9,47.7,73,20,40,,,42.6333333333333,44.3333333333333
AGO,2008,46.9,20,22,,85.2,72.8,,36.7,41.5,57.8,73,20,40,,,45.3333333333333,44.3333333333333
