,Rule of Law,Government Size,Regulatory Efficiency,Open Markets
AFG,0.241,0.898,0.627,0.2866666666666667
ALB,0.39799999999999996,0.751,0.673,0.7593333333333332
DZA,0.3066666666666667,0.4636666666666666,0.6223333333333333,0.395
AGO,0.26766666666666666,0.6876666666666668,0.559,0.43166666666666664
ARG,0.393,0.5796666666666667,0.5026666666666667,0.6176666666666667
ARM,0.47733333333333333,0.773,0.7480000000000001,0.75
AUS,0.8316666666666667,0.695,0.8540000000000001,0.854
AUT,0.793,0.5013333333333333,0.7530000000000001,0.8230000000000001
AZE,0.4343333333333333,0.8079999999999999,0.6993333333333333,0.632
BHR,0.5633333333333334,0.5760000000000001,0.773,0.7946666666666667
BGD,0.2873333333333334,0.8193333333333334,0.625,0.47066666666666673
BRB,0.532,0.37766666666666665,0.729,0.6406666666666667
BLR,0.5093333333333333,0.7103333333333334,0.6983333333333333,0.40466666666666673
BEL,0.7386666666666667,0.41333333333333333,0.7423333333333333,0.8063333333333333
BLZ,0.4343333333333333,0.6516666666666667,0.633,0.5663333333333334
BEN,0.3233333333333333,0.6756666666666667,0.6509999999999999,0.6186666666666667
BTN,0.5446666666666666,0.7840000000000001,0.729,0.41466666666666674
BOL,0.17833333333333334,0.5966666666666667,0.5863333333333334,0.40166666666666667
BIH,0.37200000000000005,0.7313333333333333,0.6413333333333333,0.7093333333333334
BWA,0.5633333333333335,0.7923333333333332,0.7103333333333333,0.7296666666666667
BRA,0.4756666666666667,0.43,0.5893333333333333,0.5616666666666666
BRN,0.5303333333333334,0.5443333333333333,0.8130000000000001,0.6803333333333333
BGR,0.48100000000000004,0.819,0.7106666666666666,0.723
BFA,0.4033333333333334,0.8156666666666667,0.61,0.5693333333333332
MMR,0.261,0.8673333333333333,0.6256666666666667,0.403
BDI,0.21833333333333335,0.6813333333333333,0.6213333333333333,0.514
CPV,0.4563333333333333,0.6190000000000001,0.6286666666666666,0.6940000000000001
KHM,0.26066666666666666,0.8946666666666666,0.56,0.6343333333333333
CMR,0.3113333333333333,0.7726666666666665,0.5646666666666667,0.428
CAN,0.8096666666666666,0.7006666666666668,0.7686666666666667,0.827
CAF,0.2356666666666667,0.852,0.4406666666666667,0.4406666666666667
TCD,0.241,0.7240000000000001,0.49866666666666665,0.5073333333333333
CHL,0.6416666666666666,0.8366666666666666,0.7173333333333334,0.8123333333333335
CHN,0.5313333333333333,0.7596666666666666,0.6256666666666666,0.39399999999999996
COL,0.435,0.7896666666666667,0.759,0.7719999999999999
COM,0.30800000000000005,0.7803333333333334,0.658,0.4996666666666667
CRI,0.5479999999999999,0.7166666666666667,0.6786666666666666,0.6823333333333332
CIV,0.40066666666666667,0.8059999999999999,0.611,0.6623333333333333
