ISO3,TE,Rule_of_Law,Government_Size,Regulatory_Efficiency,Open_Markets,GDPgrowth,CurrentAccountBal/GDP
AGO,0.23,0.26766666666666666,0.6876666666666668,0.559,0.43166666666666664,0.9440000000000001,-8.841000000000001
ALB,0.35,0.39799999999999996,0.751,0.673,0.7593333333333332,2.219,-8.59
ARE,0.9,0.79,0.8943333333333333,0.8039999999999999,0.6143333333333333,5.065,4.902
ARG,0.1,0.393,0.5796666666666667,0.5026666666666667,0.6176666666666667,2.7310000000000003,-2.7430000000000003
ARM,0.16,0.47733333333333333,0.773,0.7480000000000001,0.75,3.2539999999999996,-2.5810000000000004
AZE,0.48,0.4343333333333333,0.8079999999999999,0.6993333333333333,0.632,0.648,-0.43799999999999994
BEN,0.31,0.3233333333333333,0.6756666666666667,0.6509999999999999,0.6186666666666667,2.097,-8.988
BFA,0.25,0.4033333333333334,0.8156666666666667,0.61,0.5693333333333332,3.895,-8.524
BGD,0.4,0.2873333333333334,0.8193333333333334,0.625,0.47066666666666673,6.8420000000000005,1.861
BGR,0.6,0.48100000000000004,0.819,0.7106666666666666,0.723,3.617,-0.038
BHR,0.35,0.5633333333333334,0.5760000000000001,0.773,0.7946666666666667,2.863,-2.416
BHS,0.52,0.503,0.7946666666666666,0.7069999999999999,0.5256666666666666,1.045,-13.655999999999999
BIH,0.27,0.37200000000000005,0.7313333333333333,0.6413333333333333,0.7093333333333334,3.074,-5.446000000000001
BLR,0.26,0.5093333333333333,0.7103333333333334,0.6983333333333333,0.40466666666666673,-3.83,-3.2510000000000003
BLZ,0.2,0.4343333333333333,0.6516666666666667,0.633,0.5663333333333334,3.795,-9.758
BOL,0.36,0.17833333333333334,0.5966666666666667,0.5863333333333334,0.40166666666666667,4.857,-5.825
BRA,0.42,0.4756666666666667,0.43,0.5893333333333333,0.5616666666666666,-3.549,-3.302
BRB,0.22,0.532,0.37766666666666665,0.729,0.6406666666666667,2.211,-6.106
BWA,0.72,0.5633333333333335,0.7923333333333332,0.7103333333333333,0.7296666666666667,-1.6980000000000002,7.757999999999999
CHN,0.8,0.5313333333333333,0.7596666666666666,0.6256666666666666,0.39399999999999996,6.9,2.7089999999999996
CIV,0.37,0.40066666666666667,0.8059999999999999,0.611,0.6623333333333333,8.843,-0.608
CMR,0.28,0.3113333333333333,0.7726666666666665,0.5646666666666667,0.428,5.651,-3.7960000000000003
COG,0.2,0.28400000000000003,0.33466666666666667,0.46399999999999997,0.47300000000000003,2.6189999999999998,-54.141000000000005
COG,0.2,0.28400000000000003,0.33466666666666667,0.46399999999999997,0.47300000000000003,2.6189999999999998,-54.141000000000005
COL,0.57,0.435,0.7896666666666667,0.759,0.7719999999999999,2.9560000000000004,-6.332999999999999
CPV,0.3,0.4563333333333333,0.6190000000000001,0.6286666666666666,0.6940000000000001,1.0070000000000001,-3.18
CRI,0.33,0.5479999999999999,0.7166666666666667,0.6786666666666666,0.6823333333333332,3.6319999999999997,-3.467
CYP,0.5,0.5640000000000001,0.6913333333333332,0.719,0.7396666666666668,1.9809999999999999,-1.462
DOM,0.4,0.33666666666666667,0.8856666666666667,0.6153333333333333,0.6246666666666667,7.0329999999999995,-1.858
ECU,0.13,0.3006666666666667,0.5963333333333333,0.5646666666666667,0.4793333333333332,0.099,-2.126
EGY,0.3,0.3913333333333333,0.5016666666666666,0.642,0.6030000000000001,4.372,-3.657
ETH,0.31,0.3546666666666667,0.842,0.5286666666666666,0.38566666666666666,10.4,-10.172
FJI,0.37,0.5006666666666667,0.7086666666666667,0.6923333333333334,0.5793333333333334,3.845,-2.204
GAB,0.26,0.3036666666666667,0.8373333333333334,0.6413333333333333,0.5363333333333333,3.8789999999999996,-5.571000000000001
GEO,0.45,0.6293333333333333,0.8403333333333333,0.8126666666666668,0.7646666666666667,2.88,-12.008
GHA,0.23,0.4183333333333333,0.5733333333333334,0.598,0.6503333333333333,3.835,-7.686
GTM,0.45,0.336,0.8993333333333333,0.6106666666666666,0.6906666666666667,4.14,-0.151
HKG,0.9,0.8653333333333334,0.9443333333333334,0.9,0.9,2.388,3.3169999999999997
HND,0.35,0.35666666666666663,0.8226666666666667,0.5473333333333333,0.6980000000000001,3.84,-4.663
HRV,0.51,0.543,0.5523333333333333,0.6033333333333333,0.7413333333333334,2.401,4.526
