ISO3,Rating,CurrentAccountBal/GDP,GDPgrowth,Regulatory_Efficiency,Government_Size,Rule_of_Law,Monetary_Freedom,Labor_Freedom,Business_Freedom,Government_Spending,Government_Integrity
AGO,0.36250000000000004,-8.841000000000001,0.9440000000000001,0.52,0.673,0.19,0.654,0.43200000000000005,0.474,0.501,0.23
ARM,0.35,-2.5810000000000004,3.2539999999999996,0.7253333333333334,0.8360000000000001,0.28,0.706,0.643,0.8270000000000001,0.828,0.36
AZE,0.55,-0.43799999999999994,0.648,0.778,0.7389999999999999,0.24000000000000002,0.7979999999999999,0.7909999999999999,0.745,0.597,0.28
BHS,0.575,-13.655999999999999,1.045,0.7433333333333333,0.905,0.705,0.7879999999999999,0.753,0.6890000000000001,0.8320000000000001,0.71
BHR,0.55,-2.416,2.863,0.766,0.865,0.54,0.742,0.831,0.725,0.731,0.48
BLZ,0.25,-9.758,3.795,0.6673333333333332,0.8035,0.1835,0.7929999999999999,0.618,0.591,0.7829999999999999,0.067
BOL,0.45,-5.825,4.857,0.49633333333333335,0.7384999999999999,0.22000000000000003,0.6970000000000001,0.255,0.537,0.609,0.34
BRA,0.5416666666666666,-3.302,-3.549,0.5836666666666667,0.5965,0.45999999999999996,0.6940000000000001,0.521,0.536,0.509,0.42
CRI,0.5,-3.467,3.6319999999999997,0.6496666666666667,0.8495,0.515,0.758,0.546,0.645,0.899,0.53
HRV,0.45,4.526,2.401,0.5953333333333334,0.6070000000000001,0.44,0.8,0.428,0.5579999999999999,0.465,0.48
CYP,0.35,-1.462,1.9809999999999999,0.7393333333333333,0.5810000000000001,0.665,0.8270000000000001,0.596,0.795,0.36700000000000005,0.63
DOM,0.375,-1.858,7.0329999999999995,0.6233333333333333,0.856,0.295,0.76,0.575,0.535,0.871,0.29
ECU,0.3,-2.126,0.099,0.5696666666666667,0.6505,0.25,0.682,0.513,0.514,0.51,0.35
EGY,0.25,-3.657,4.372,0.6213333333333333,0.769,0.26,0.674,0.536,0.654,0.68,0.32
SLV,0.35,-3.23,2.378,0.6303333333333333,0.8245,0.365,0.825,0.5329999999999999,0.5329999999999999,0.855,0.38
FJI,0.35,-2.204,3.845,0.7223333333333333,0.7795,0.2365,0.7829999999999999,0.752,0.632,0.746,0.223
GAB,0.35,-5.571000000000001,3.8789999999999996,0.6686666666666667,0.7605,0.37,0.784,0.643,0.579,0.746,0.34
GEO,0.4,-12.008,2.88,0.8373333333333334,0.8049999999999999,0.445,0.8270000000000001,0.799,0.8859999999999999,0.738,0.49
HND,0.35,-4.663,3.84,0.522,0.8180000000000001,0.28,0.754,0.28,0.532,0.787,0.26
IND,0.6,-1.051,8.155,0.5243333333333333,0.7885,0.455,0.653,0.48700000000000004,0.433,0.7829999999999999,0.36
IDN,0.5,-2.035,4.876,0.5763333333333334,0.858,0.31,0.7490000000000001,0.48700000000000004,0.493,0.883,0.32
IRQ,0.25,-6.546,2.537,0.6856666666666668,0.43799999999999994,0.16,0.736,0.7440000000000001,0.5770000000000001,0.43799999999999994,0.16
CIV,0.35,-0.608,8.843,0.6213333333333334,0.8005,0.31,0.75,0.46,0.654,0.8240000000000001,0.27
JAM,0.275,-3.2060000000000004,0.85,0.7793333333333333,0.7735,0.39,0.7140000000000001,0.765,0.8590000000000001,0.732,0.38
KAZ,0.6,-2.785,1.2,0.7843333333333332,0.891,0.255,0.746,0.87,0.737,0.85,0.26
KEN,0.35,-6.693,5.718,0.615,0.7505,0.28500000000000003,0.728,0.638,0.479,0.721,0.27
KGZ,0.3,-16.000999999999998,3.8760000000000003,0.775,0.734,0.22,0.738,0.85,0.737,0.532,0.24
LBN,0.25,-18.317999999999998,0.243,0.6246666666666666,0.8094999999999999,0.24000000000000002,0.72,0.607,0.547,0.706,0.28
MKD,0.5,-1.952,3.8560000000000003,0.763,0.7849999999999999,0.395,0.79,0.7070000000000001,0.792,0.6559999999999999,0.44
MYS,0.7,3.034,5.092,0.8333333333333334,0.792,0.525,0.8079999999999999,0.757,0.935,0.74,0.5
MLT,0.7,4.455,9.521,0.6613333333333333,0.5375,0.655,0.818,0.556,0.61,0.444,0.56
MNG,0.31666666666666665,-3.992,2.38,0.7336666666666667,0.5975,0.33999999999999997,0.6920000000000001,0.8270000000000001,0.682,0.35600000000000004,0.38
MOZ,0.26666666666666666,-40.328,6.593999999999999,0.6026666666666666,0.7085,0.3,0.82,0.379,0.609,0.665,0.3
NIC,0.35,-9.079,4.769,0.6083333333333333,0.7749999999999999,0.19,0.6779999999999999,0.5670000000000001,0.58,0.7659999999999999,0.28
NGA,0.3833333333333333,-3.1919999999999997,2.653,0.6546666666666666,0.8065,0.275,0.7040000000000001,0.777,0.483,0.7609999999999999,0.25
OMN,0.675,-15.898,4.658,0.7356666666666666,0.7135,0.51,0.762,0.7609999999999999,0.684,0.442,0.47
PAK,0.275,-1.001,4.058,0.5963333333333334,0.819,0.29000000000000004,0.7120000000000001,0.42100000000000004,0.6559999999999999,0.861,0.28
