,Labor Freedom,Financial Freedom,Business Freedom,Financial Freedom,BCA_NGDPD,GGXCNL_NGDP,LUR,NGDPRPPPPCPCH,NGDP_RPCH,PCPIEPCH,PCPIPCH,PPPGDP
AFG,0.573,0.1,0.53,0.1,12.986,1.502,,1.268,2.664,0.755,0.626,73.091
ALB,0.504,0.7,0.691,0.7,-6.758,-1.346,12.3,4.328,4.071,1.799,2.029,38.301
DZA,0.48700000000000004,0.3,0.6809999999999999,0.3,-9.615,-4.468,11.731,-0.641,1.4,2.702,4.27,652.795
AGO,0.509,0.4,0.583,0.4,6.99,2.189,,-4.151,-1.2,18.604,19.629,200.4
ARG,0.433,0.6,0.562,0.6,-5.247,-5.493,9.2,-3.467,-2.482,47.646,34.277,915.749
ARM,0.6990000000000001,0.7,0.787,0.7,-9.373,-1.755,20.4,5.608,5.238,1.795,2.424,30.534
AUS,0.797,0.9,0.8909999999999999,0.9,-2.055,-0.942,5.292,1.106,2.73,1.786,1.934,"1,314.46"
AUT,0.667,0.7,0.755,0.7,2.329,0.198,4.883,1.613,2.42,1.707,2.12,461.331
AZE,0.7190000000000001,0.6,0.723,0.6,12.844,5.547,4.994,0.597,1.5,1.598,2.334,180.084
BHR,0.765,0.8,0.755,0.8,-5.896,-11.944,3.894,-0.044,1.955,1.9,2.1,74.271
BGD,0.664,0.3,0.521,0.3,-2.569,-4.641,,6.906,8.014,5.53,5.629,763.99
BRB,0.632,0.6,0.705,0.6,-3.96,-0.299,10.05,-0.835,-0.583,0.649,3.688,5.344
BLR,0.731,0.1,0.741,0.1,0.04,1.813,0.428,3.29,3.149,5.642,4.867,189.46
BEL,0.595,0.7,0.8059999999999999,0.7,-1.385,-0.74,5.958,1.041,1.458,2.198,2.311,555.502
BLZ,0.48700000000000004,0.5,0.629,0.5,-8.111,-0.97,9.377,-0.528,2.08,-0.108,0.294,3.291
BEN,0.499,0.5,0.607,0.5,-4.64,-2.974,,3.772,6.697,-0.133,0.849,37.545
BTN,0.757,0.3,0.725,0.3,-19.502,-3.287,,2.471,3.734,2.5,2.7,7.406
BOL,0.49200000000000005,0.4,0.5920000000000001,0.4,-4.635,-8.144,3.493,2.701,4.224,1.507,2.272,89.258
BIH,0.596,0.6,0.493,0.6,-3.711,1.658,18.4,3.726,3.624,1.582,1.417,47.59
BWA,0.6459999999999999,0.7,0.695,0.7,2.109,-4.588,,2.572,4.479,3.539,3.241,41.911
BRA,0.46799999999999997,0.5,0.586,0.5,-2.204,-7.166,12.258,0.491,1.312,3.745,3.665,"3,382.59"
BRN,0.889,0.5,0.799,0.5,7.87,-3.559,9.316,-2.864,0.053,-0.006,1.053,34.662
BGR,0.6609999999999999,0.6,0.643,0.6,1.38,0.123,5.2,3.82,3.084,2.31,2.631,162.516
BFA,0.47,0.4,0.515,0.4,-4.104,-4.355,,3.802,6.821,0.336,1.956,43.99
MMR,0.659,0.2,0.542,0.2,-4.186,-3.013,4,5.594,6.405,8.588,5.944,329.78
BDI,0.632,0.3,0.53,0.3,-14.984,-5.274,,-1.315,1.646,-5.877,-2.767,8.413
CPV,0.405,0.6,0.6459999999999999,0.6,-5.336,-2.818,12.2,5.584,5.078,1.003,1.275,4.047
KHM,0.5770000000000001,0.5,0.306,0.5,-11.399,0.717,,5.944,7.533,1.632,2.387,70.662
CMR,0.429,0.5,0.44,0.5,-3.641,-2.487,,1.524,4.062,1.975,1.066,95.309
CAN,0.713,0.8,0.818,0.8,-2.496,-0.397,5.833,0.63,2.014,2.054,2.268,"1,841.63"
CAF,0.345,0.3,0.272,0.3,-7.96,-0.972,,2.262,3.82,4.605,1.612,4.008
TCD,0.40299999999999997,0.4,0.294,0.4,-1.397,1.936,,-0.744,2.303,4.382,4.037,30.465
CHL,0.604,0.7,0.7240000000000001,0.7,-3.572,-1.465,7.377,2.098,3.939,2.123,2.318,481.282
CHN,0.614,0.2,0.5489999999999999,0.2,0.355,-4.655,3.8,6.344,6.75,1.9,2.105,"25,293.58"
COL,0.752,0.7,0.7859999999999999,0.7,-3.912,-4.676,9.7,1.4,2.515,3.157,3.237,747.536
COM,0.5870000000000001,0.3,0.575,0.3,-2.752,-1.038,,0.893,3.639,0.927,1.749,2.441
CRI,0.503,0.5,0.6829999999999999,0.5,-3.282,-5.905,11.951,1.518,2.66,2.02,2.22,88.637
CIV,0.47600000000000003,0.5,0.621,0.5,-3.599,-2.945,,4.087,6.793,1.053,0.422,145.533
HRV,0.43,0.6,0.589,0.6,1.901,0.234,9.858,3.599,2.695,0.895,1.5,107.554
CYP,0.557,0.6,0.77,0.6,-4.405,-4.377,8.35,2.921,4.057,1.069,0.782,35.147
CZE,0.768,0.8,0.725,0.8,0.292,0.891,2.243,2.543,2.846,2.021,2.158,395.747
COD,0.478,0.2,0.602,0.2,-3.551,-0.048,,2.734,5.816,7.228,29.266,78.297
DNK,0.828,0.8,0.925,0.8,7.029,0.477,5.083,1.815,2.389,0.791,0.709,306.755
DJI,0.589,0.5,0.517,0.5,18.015,-2.782,,5.455,8.408,1.972,0.148,5.723
DMA,0.5770000000000001,0.3,0.7170000000000001,0.3,-44.592,-19.73,,0.533,0.533,1.358,1.359,0.763
DOM,0.5429999999999999,0.4,0.532,0.4,-1.354,-2.16,5.656,6.004,7.015,1.171,3.564,186.519
ECU,0.43700000000000006,0.4,0.556,0.4,-1.384,-3.132,3.69,-0.177,1.289,0.266,-0.224,200.015
EGY,0.515,0.5,0.715,0.5,-2.383,-9.41,10.932,2.946,5.314,14.384,20.86,"1,295.43"
SLV,0.529,0.6,0.5820000000000001,0.6,-4.695,-2.506,6.347,1.909,2.43,0.438,1.088,53.353
GNQ,0.298,0.3,0.456,0.3,-5.437,0.51,,-9.115,-5.803,2.59,1.346,29.525
ERI,0.657,0.2,0.5670000000000001,0.2,18.952,4.212,,10.903,13.032,-29.278,-14.401,6.238
EST,0.5479999999999999,0.8,0.7559999999999999,0.8,1.984,-0.462,5.371,4.397,4.761,3.319,3.412,45.036
SWZ,0.695,0.4,0.611,0.4,1.994,-11.159,,1.348,2.351,5.251,4.825,12.069
ETH,0.513,0.2,0.402,0.2,-6.522,-3.029,,6.007,7.703,10.581,13.833,219.739
FJI,0.708,0.5,0.628,0.5,-8.502,-5.515,4.5,2.955,3.526,4.876,4.08,10.397
FIN,0.505,0.8,0.899,0.8,-1.368,-0.828,7.417,1.448,1.63,1.319,1.169,258.786
FRA,0.45,0.7,0.802,0.7,-0.643,-2.274,9.025,1.57,1.725,1.908,2.1,"2,970.43"
GAB,0.617,0.4,0.493,0.4,-3.158,-0.211,,-0.523,0.846,6.253,4.777,37.84
GEO,0.773,0.6,0.8690000000000001,0.6,-6.768,-0.817,12.7,4.753,4.843,1.515,2.615,44.784
DEU,0.5329999999999999,0.7,0.861,0.7,7.397,1.867,3.4,1.218,1.522,1.751,1.951,"4,342.91"
GHA,0.562,0.6,0.595,0.6,-3.12,-6.972,,4.053,6.263,9.425,9.837,189.707
GRC,0.544,0.4,0.7440000000000001,0.4,-3.475,0.868,19.3,2.191,1.934,0.632,0.774,312.267
GTM,0.483,0.5,0.573,0.5,0.744,-1.891,,1.005,3.056,2.313,3.752,144.985
GIN,0.54,0.4,0.541,0.4,-18.738,-1.063,,3.591,6.181,9.942,9.826,31.066
GNB,0.611,0.3,0.478,0.3,-3.543,-4.844,,1.566,3.8,2.398,0.381,3.473
GUY,0.705,0.3,0.603,0.3,-32.135,-3.543,,3.557,4.138,1.637,1.272,6.712
HTI,0.6409999999999999,0.3,0.483,0.3,-3.86,-1.719,,0.261,1.484,13.255,12.885,20.733
HND,0.319,0.6,0.585,0.6,-5.343,0.198,4.076,1.907,3.697,4.224,4.348,49.2
HKG,0.894,0.9,0.963,0.9,3.739,2.35,2.816,1.854,2.862,2.408,2.408,479.662
HUN,0.687,0.7,0.618,0.7,-0.015,-2.149,3.708,5.309,5.094,2.749,2.849,314.5
ISL,0.618,0.7,0.895,0.7,3.073,0.818,2.742,0.805,3.814,3.738,2.684,19.332
IND,0.418,0.4,0.564,0.4,-2.108,-6.27,,4.742,6.12,2.465,3.428,"10,413.61"
IDN,0.503,0.6,0.573,0.6,-2.938,-1.75,5.34,4.053,5.17,3.157,3.292,"3,495.97"
IRN,0.5820000000000001,0.1,0.643,0.1,2.119,-1.897,12.025,-6.495,-5.419,54.141,31.183,"1,586.22"
IRQ,0.698,,0.591,,6.921,7.893,,-3.131,-0.563,-0.096,0.367,669.906
IRL,0.764,0.7,0.818,0.7,10.585,0.052,5.75,6.967,8.307,0.798,0.708,389.143
ISR,0.6509999999999999,0.7,0.718,0.7,2.564,-3.621,4,1.464,3.441,0.797,0.807,336.992
ITA,0.503,0.5,0.703,0.5,2.492,-2.199,10.625,0.974,0.798,1.175,1.243,"2,405.50"
JAM,0.745,0.5,0.787,0.5,-1.84,1.181,9.125,1.929,1.886,2.413,3.729,27.171
JPN,0.792,0.6,0.8170000000000001,0.6,3.537,-2.429,2.442,0.522,0.323,0.826,0.979,"5,577.57"
JOR,0.589,0.6,0.63,0.6,-7.03,-4.737,18.6,-0.133,1.94,3.649,4.462,92.74
KAZ,0.868,0.5,0.743,0.5,-0.125,2.58,4.854,2.751,4.1,5.3,6.025,508.817
KEN,0.629,0.5,0.555,0.5,-4.963,-7.365,,3.433,6.32,5.711,4.69,177.954
KIR,0.716,0.3,0.531,0.3,38.742,-1.148,,0.963,2.313,-1.134,0.564,0.242
KWT,0.615,0.6,0.5720000000000001,0.6,14.498,9.045,1.087,-2.776,1.246,0.442,0.579,301.172
KGZ,0.779,0.5,0.733,0.5,-12.052,-0.59,6.605,1.532,3.459,0.486,1.543,24.539
LAO,0.55,0.2,0.654,0.2,-11.974,-4.663,,4.675,6.308,1.482,2.039,53.623
LVA,0.725,0.6,0.8009999999999999,0.6,-0.681,-0.74,7.415,5.133,4.285,2.549,2.554,57.199
LBN,0.442,0.5,0.488,0.5,-26.708,-11.287,,-2.499,-1.926,5.553,4.551,88.615
LSO,0.589,0.4,0.529,0.4,-1.232,-4.444,,-0.292,0.381,5.238,4.747,6.713
LBR,0.595,0.2,0.531,0.2,-22.381,-5.099,,-1.294,1.242,28.525,23.547,6.33
