ISO,Year,Primary Outcome,Primary Outcome/GDP
AFG,1995,,
AFG,1996,,
AFG,1997,,
AFG,1998,,
AFG,1999,,
AFG,2000,,
AFG,2001,,
AFG,2002,,
AFG,2003,,
AFG,2004,-5.891,-0.02393
AFG,2005,-2.797,-0.00917
AFG,2006,2.364,0.00684
AFG,2007,-10.524,-0.02462
AFG,2008,-19.994,-0.03864
AFG,2009,-10.691,-0.01761
AFG,2010,6.643,0.00933
AFG,2011,-4.794,-0.00573
AFG,2012,2.66,0.00257
AFG,2013,-6.075,-0.00544
AFG,2014,-19.935,-0.01685
AFG,2015,-16.27,-0.01326
AFG,2016,2.35,0.00192
AFG,2017,-7.767,-0.00604
AFG,2018,22.486,0.01694
AFG,2019,-14.971,-0.01019
AFG,2020,-35.593,-0.02421
AFG,2021,-39.321,-0.02459
ALB,1995,,
ALB,1996,,
ALB,1997,-21.284,-0.06424
ALB,1998,-3.32,-0.00863
ALB,1999,-5.006,-0.01129
ALB,2000,-9.381,-0.01872
ALB,2001,-14.904,-0.02645
ALB,2002,-13.159,-0.02155
ALB,2003,-4.105,-0.00606
ALB,2004,-9.66,-0.0131
ALB,2005,-1.777,-0.00221
ALB,2006,-3.474,-0.00398
ALB,2007,-5.166,-0.00535
ALB,2008,-21.476,-0.01987
ALB,2009,-39.044,-0.03413
ALB,2010,-2.033,-0.00164
ALB,2011,-4.611,-0.00355
ALB,2012,-4.359,-0.00327
ALB,2013,-27.073,-0.02005
ALB,2014,-36.074,-0.02585
ALB,2015,-23.288,-0.01624
ALB,2016,14.207,0.00965
ALB,2017,10.312,0.00665
ALB,2018,14.495,0.00886
ALB,2019,2.291,0.00137
ALB,2020,-75.981,-0.04626
ALB,2021,-70.439,-0.04008
DZA,1995,51.304,0.02559
DZA,1996,177.106,0.06891
DZA,1997,163.147,0.05868
DZA,1998,-37.685,-0.01331
DZA,1999,34.25,0.01054
DZA,2000,522.273,0.12666
DZA,2001,245.012,0.05796
DZA,2002,124.589,0.02755
DZA,2003,300.871,0.05728
DZA,2004,316.984,0.05155
DZA,2005,,0.134
DZA,2006,,0.13764
DZA,2007,604.633,0.06465
DZA,2008,,0.094
DZA,2009,-627.316,-0.06293
DZA,2010,-60.823,-0.00507
DZA,2011,-194.721,-0.01335
DZA,2012,-860.011,-0.05306
DZA,2013,-74.977,-0.0045
DZA,2014,,-0.07428
DZA,2015,,-0.15843
DZA,2016,,-0.13121
DZA,2017,,-0.06176
DZA,2018,-942.848,-0.0461
DZA,2019,,-0.06184
DZA,2020,,-0.07476
DZA,2021,,-0.13562
AGO,1995,,
AGO,1996,0.153,0.15015
AGO,1997,0.117,0.05448
AGO,1998,0.007,0.00227
AGO,1999,-0.684,-0.03257
AGO,2000,7.54,0.06725
AGO,2001,17.478,0.0725
AGO,2002,-1.385,-0.00208
AGO,2003,-43.252,-0.03255
AGO,2004,61.076,0.03104
AGO,2005,279.643,0.08678
AGO,2006,450.016,0.1069
AGO,2007,269.528,0.05384
AGO,2008,-158.7,-0.02389
AGO,2009,-337.328,-0.06048
AGO,2010,350.999,0.04557
AGO,2011,943.251,0.08983
AGO,2012,610.322,0.04992
AGO,2013,59.02,0.00447
AGO,2014,-669.879,-0.04677
AGO,2015,-158.494,-0.01136
AGO,2016,-277.674,-0.01678
AGO,2017,-599.942,-0.02961
AGO,2018,,0.06722
AGO,2019,,0.05995
