,ISO,Year,S&P,Fitch,DBRS,Analyst,Moody's,OECD,Rating
0,ALB,2010,0.35,,,,,False,0.35
1,ALB,2013,0.3,,,,,False,0.3
2,ALB,2014,0.3,,,,,False,0.3
3,ALB,2016,0.35,,,,,False,0.35
0,AND,2003,0.85,,,,,False,0.85
1,AND,2004,0.9,,,,,False,0.9
2,AND,2007,0.9,,,,,False,0.9
3,AND,2008,0.85,,,,,False,0.85
4,AND,2009,0.8,,,,,False,0.8
5,AND,2010,0.75,,,,,False,0.75
6,AND,2012,0.7,,,,,False,0.7
7,AND,2014,0.65,,,,,False,0.65
8,AND,2015,0.5666666666666668,0.6,,,,False,0.5833333333333334
9,AND,2016,0.55,,,,,False,0.55
10,AND,2017,0.6,0.6,,,,False,0.6
11,AND,2018,,0.65,,,,False,0.65
12,AND,2019,0.6,,,,,False,0.6
13,AND,2020,0.6,,,,,False,0.6
0,AGO,2010,0.35,0.35,,,,False,0.35
1,AGO,2011,0.4,0.4,,,,False,0.4
2,AGO,2012,,0.4,,,,False,0.4
3,AGO,2014,,0.4,,,,False,0.4
4,AGO,2015,0.35,0.375,,,,False,0.3625
5,AGO,2016,0.3,0.32499999999999996,,,,False,0.3125
6,AGO,2017,0.25,,,,,False,0.25
7,AGO,2018,,0.3,,,,False,0.3
8,AGO,2019,0.25,0.3,,,,False,0.275
9,AGO,2020,0.2,0.2,,,,False,0.2
0,ARG,2000,0.42500000000000004,0.45,,,,False,0.4375
1,ARG,2001,0.3,0.22999999999999998,,,,False,0.265
2,ARG,2005,0.25,0.0,,,,False,0.125
3,ARG,2006,0.32499999999999996,,,,,False,0.32499999999999996
4,ARG,2007,,,0.25,,,False,
5,ARG,2008,0.3,,0.25,,,False,0.3
6,ARG,2010,0.3,0.3,0.25,,,False,0.3
7,ARG,2011,,,0.3,,,False,
8,ARG,2012,0.275,0.3,0.3,,,False,0.2875
9,ARG,2013,0.2,,0.25,,,False,0.2
10,ARG,2014,0.1,,0.2,,,False,0.1
11,ARG,2016,0.25,0.3,0.3,,,False,0.275
12,ARG,2017,0.32499999999999996,0.3,,,,False,0.3125
13,ARG,2018,0.32499999999999996,0.3,,,,False,0.3125
14,ARG,2019,0.175,0.15,,,,False,0.16249999999999998
15,ARG,2020,0.15000000000000002,0.1,0.15,,,False,0.125
0,ARM,2006,,0.4,,,,False,0.4
1,ARM,2007,,0.4,,,,False,0.4
2,ARM,2008,,0.45,,,,False,0.45
3,ARM,2009,,0.4,,,,False,0.4
4,ARM,2011,,0.4,,,,False,0.4
5,ARM,2015,,0.35,,,,False,0.35
6,ARM,2017,,0.35,,,,False,0.35
7,ARM,2019,,0.4,,0.0,,False,0.4
8,ARM,2020,,0.375,,,,False,0.375
0,ABW,2002,,0.6,,,,False,0.6
1,ABW,2003,,0.6,,,,False,0.6
2,ABW,2006,,0.6,,,,False,0.6
3,ABW,2010,0.7,,,,,False,0.7
4,ABW,2011,0.7,0.6,,,,False,0.6499999999999999
5,ABW,2012,0.7,,,,,False,0.7
6,ABW,2013,0.65,0.6,,,,False,0.625
7,ABW,2014,,0.55,,,,False,0.55
8,ABW,2016,0.65,,,,,False,0.65
9,ABW,2017,0.65,,,,,False,0.65
10,ABW,2018,0.65,0.55,,,,False,0.6000000000000001
11,ABW,2019,0.65,,,,,False,0.65
12,ABW,2020,0.65,0.45,,,,False,0.55
13,ABW,2021,0.6,0.45,,,,False,0.525
0,AUS,1957,0.6,,,,,True,0.6
1,AUS,1962,,,,,0.75,True,0.75
2,AUS,1975,1.0,,,,,True,1.0
3,AUS,1986,0.95,,,,,True,0.95
4,AUS,1989,0.925,,,,,True,0.925
5,AUS,1993,0.9,,,,,True,0.9
6,AUS,1996,0.9,0.9,,,,True,0.9
7,AUS,1998,,0.9,,,,True,0.9
8,AUS,1999,0.95,,,,,True,0.95
9,AUS,2000,,0.9,,,,True,0.9
10,AUS,2003,1.0,0.95,,,,True,0.975
11,AUS,2011,,1.0,,,,True,1.0
12,AUS,2014,,,1.0,,,True,
13,AUS,2016,1.0,,,,,True,1.0
14,AUS,2018,1.0,,,,,True,1.0
15,AUS,2020,1.0,1.0,,,,True,1.0
0,AUT,1975,1.0,,,,,True,1.0
1,AUT,1989,1.0,,,,,True,1.0
2,AUT,1994,,1.0,,,,True,1.0
3,AUT,2000,,1.0,,,,True,1.0
4,AUT,2011,1.0,,1.0,,,True,1.0
5,AUT,2012,0.95,,,,,True,0.95
6,AUT,2013,0.95,,,,,True,0.95
7,AUT,2015,,0.95,,,,True,0.95
8,AUT,2018,,0.95,,,,True,0.95
9,AUT,2020,,0.95,,,,True,0.95
0,AZE,2000,,0.35,,,,False,0.35
1,AZE,2001,,0.4,,,,False,0.4
2,AZE,2002,,0.4,,,,False,0.4
3,AZE,2004,,0.45,,,,False,0.45
4,AZE,2007,,0.5,,,,False,0.5
5,AZE,2008,0.5,,,,,False,0.5
6,AZE,2009,0.5,,,,,False,0.5
7,AZE,2010,,0.55,,,,False,0.55
8,AZE,2011,0.55,0.55,,,,False,0.55
9,AZE,2012,,0.55,,,,False,0.55
10,AZE,2015,0.55,,,,,False,0.55
11,AZE,2016,0.5,0.5,,,,False,0.5
12,AZE,2018,0.5,0.5,,,,False,0.5
13,AZE,2020,0.5,0.5,,,,False,0.5
14,AZE,2021,0.5,,,,,False,0.5
0,BHS,2003,0.7,,,,,False,0.7
1,BHS,2007,0.7,,,,,False,0.7
2,BHS,2008,0.7,,,,,False,0.7
3,BHS,2009,0.65,,,,,False,0.65
4,BHS,2011,0.6,,,,,False,0.6
5,BHS,2012,0.6,,,,,False,0.6
6,BHS,2015,0.575,,,,,False,0.575
7,BHS,2016,0.5,,,,,False,0.5
8,BHS,2020,0.45,,,,,False,0.45
0,BHR,2000,,0.55,,,,False,0.55
1,BHR,2001,,0.6,,,,False,0.6
2,BHR,2002,0.7,0.6,,,,False,0.6499999999999999
3,BHR,2003,0.7,0.7,,,,False,0.7
4,BHR,2006,0.75,0.7,,,,False,0.725
5,BHR,2007,,0.75,,,,False,0.75
6,BHR,2011,0.6333333333333333,0.65,,,,False,0.6416666666666666
7,BHR,2013,0.6,,,,,False,0.6
8,BHR,2014,0.6,0.6,,,,False,0.6
9,BHR,2015,0.55,0.55,,,,False,0.55
10,BHR,2016,0.42500000000000004,0.5,,,,False,0.4625
11,BHR,2017,0.375,0.5,,,,False,0.4375
12,BHR,2018,,0.4,,,,False,0.4
13,BHR,2019,0.35,,,,,False,0.35
14,BHR,2020,0.35,0.35,,,,False,0.35
0,BGD,2010,0.4,,,,,False,0.4
1,BGD,2014,,0.4,,,,False,0.4
