Country,gdppc,gini,unemp,urban,youth,mobile,internet,fuel,pol,success
Bahrain,0.84,0.42,0.58,0.89,0.26,0.68,0.89,0.58,0.11,0
Djibouti,0.16,0.74,1,0.63,0.74,0.05,0.16,0.01,0.83,0.2
Iraq,0.05,0.11,0.74,0.42,0.89,0.42,0.79,0.37,0.94,0.3
Mauritania,0.11,0.68,0.84,0.21,0.84,0.32,0.05,0.26,0.67,0.4
UAE,0.95,0.11,0.11,0.79,0.05,0.79,1,0.53,0.11,0.4
Qatar,1,0.79,0.01,0.95,0.01,0.74,0.95,0.63,0.01,0.5
Somalia,0.01,0.01,0.95,0.11,1,0.01,0.01,0.16,0.5,0.5
Algeria,0.58,0.37,0.42,0.47,0.32,0.47,0.32,1,0.83,0.55
Sudan,0.26,1,0.79,0.16,0.79,0.11,0.21,0.74,0.67,0.55
Jordan,0.53,0.58,0.47,0.01,0.63,0.63,0.47,0.05,0.56,0.7
Kuwait,0.89,0.01,0.05,1,0.16,0.84,0.74,0.89,0.28,0.6
Lebanon,0.63,0.95,0.32,0.84,0.21,0.26,0.58,0.11,1,0.6
Morocco,0.42,0.79,0.37,0.37,0.37,0.53,0.68,0.21,0.44,0.7
Oman,0.79,0.21,0.58,0.58,0.47,0.89,0.84,0.68,0.11,0.6
Saudi,0.74,0.21,0.16,0.74,0.53,1,0.47,0.79,0.01,0.6
Syria,0.37,0.42,0.21,0.32,0.68,0.21,0.42,0.47,0.28,0.55
Libya,0.68,0.42,0.84,0.68,0.42,0.95,0.11,0.95,0.28,0.8
Egypt,0.32,0.21,0.26,0.26,0.58,0.37,0.37,0.42,0.56,1
Tunisia,0.47,0.79,0.53,0.53,0.11,0.58,0.63,0.32,0.5,1
Yemen,0.21,0.58,0.58,0.05,0.95,0.16,0.26,0.84,0.67,1
