Country;CR;CR2;AMB;DC;EFF;COM;COM2;PRG;POS
AUT1;0,468717096;0,515996924;0,111351475;0,929326149;0,914156527;0,866525925;0,896996453;0;0,272598286
AUT2;0,468717096;0,515996924;0,050438261;0,929326149;0,914156527;0,874337386;0,901554799;0;0,95
BEL;0,543372549;0,587735739;0,104795272;0,997237569;0,797859374;0,913374455;0,925298382;0;0,616545112
CZE;0,398830112;0,440887075;0,175737538;0,751039616;0,264481358;0,15109347;0,220646575;0;0,05
DEU;0,963973728;0,963190197;0,270840614;0,991712734;0,775674422;0,971621287;0,966826364;0;0,103469517
DNK;0,963973728;0,963190197;0,098021297;0,251517933;0,975608332;0,984584634;0,978652752;0;0,834061838
ESP;0,037051997;0,036297481;0,877587689;0,982852448;0,229918813;0,202508856;0,316227668;0;0,272598286
FIN;0,963973728;0,963190197;0,071995803;0,392643661;0,971346334;0,985601612;0,979679323;0;0,701580854
FRA;0,923662792;0,925712162;0,293315661;0,251517933;0,706141021;0,866525925;0,896996453;0;0,451082989
GBR;0,963973728;0,963190197;0,939270734;0,676144579;0,781378541;0,907733547;0,921744014;0;0,009511748
GRC1;0,815773207;0,829622752;0,935540012;0,029606565;0,016952762;0,015324979;0,009689502;1;0,774651426
GRC2;0,815773207;0,829622752;0,261206489;0,029606565;0,016952762;0,011930458;0,006844078;1;0,660354261
GRC3;0,278937477;0,307094978;0,278534286;0,029606565;0,016952762;0,008392226;0,004200912;1;0,95
IRL;0,912722098;0,915774757;0,999999982;0,212714586;0,609837304;0,352243017;0,550162965;1;0,103469517
ITA1;0,963973728;0,963190197;0,257560604;0,790011965;0,016952762;0,07673607;0,090012053;0;0,387454728
ITA2;0,963973728;0,963190197;0,772918648;0,790011965;0,016952762;0,07673607;0,090012053;0;0,14595776
ITA3;0,963973728;0,963190197;0,846819861;0,790011965;0,016952762;0,101292419;0,130919443;0;0,14595776
PRT1;0,037051997;0,036297481;0,961923541;0,251517933;0,302200617;0,080410908;0,095921844;0;0,247434225
PRT2;0,73194889;0,756032367;0,273679087;0,251517933;0,302200617;0,08824577;0,108789028;1;0,570758311
SVK;0,037051997;0,036297481;0,178291365;0,083235819;0,138398987;0,032253779;0,027241609;0;0,616545112
