"Carimbo de data/hora","De acordo com a teoria aceleracionista da curva de Phillips, combinada com a hipótese de expectativas adaptativas, o combate à inflação exige uma recessão permanente.","De acordo com a hipótese das expectativas racionais, uma expansão monetária tem um efeito temporário sobre a renda, mesmo se antecipada pelos agentes econômicos.","Justifique a resposta anterior"
"2020/11/09 10:08:54 AM GMT-3","Falso","Falso","Se antecipada pelos agentes econômicos, a expansão monetária não afetará a renda, apenas provocando um aumento no nível de preços. Entretanto, se a expansão não for antecipada, haverá um efeito no curto prazo que causará um aumento da renda, mas que depois será revertido a partir do momento que os agentes ajustam suas expectativas."
"2020/11/09 10:09:49 AM GMT-3","Falso","Falso","Se os agentes antecipam a expansão monetária, ela é embutida na função de expectativa de inflação e, se mostrada correta, a expansão é incapaz de alterar qualquer variável macroeconômica real."
"2020/11/09 10:10:45 AM GMT-3","Falso","Falso","De acordo com a hipótese novo clássica das expectativas racionais, se a expansão monetária é antecipada, os agentes econômicos reconhecem que o crescimento da demanda é apenas nominal. Sendo assim, não há uma alteração nas quantidades ofertadas, e sim sobre os preços. Podemos entender, dessa forma, que uma expansão monetária anunciada pelas autoridades não tem efeitos sobre a renda."
"2020/11/09 10:11:18 AM GMT-3","Falso","Falso","Pois como a moeda é neutra, mudanças na oferta de moeda não afetariam a economia "
"2020/11/09 10:11:22 AM GMT-3","Falso","Falso","Se antecipada pelos agentes, a informação sobre a política monetária entrará no arcabouço utilizado para a formação de expectativas. Eles irão prever que mudanças nos preços são puramente nominais e não relativas, mantendo um comportamento de precaução, de modo que não haja efeitos na renda."
"2020/11/09 10:11:39 AM GMT-3","Verdadeiro","Falso","A hipótese das expectativas racionais implica que os agentes econômicos, dado um conjunto de informações sobre a economia, são capazes de adaptar suas decisões e expectativas. Isso inclui as possíveis políticas monetárias tomadas por policymakers. A não ser que seja um caso de inflação surpresa (e mesmo assim o impacto seria curto), políticas monetárias não afetam a renda de acordo com os Novos Clássicos "
"2020/11/09 10:11:49 AM GMT-3","Falso","Falso","No modelo Novos Clássico a política monetária é ineficiente decorrente da hipótese das expectativas racionais, desse modo, uma expansão ou recessão monetária não tem efeito sobre as variáveis reais da economia, mesmo no curto prazo."
"2020/11/09 10:12:20 AM GMT-3","Falso","Falso","De acordo com a o arcabouço macroeconômico novo-clássico, a hipótese das expectativas racionais faz com que a política econômica monetária seja ineficaz, justamente pelo fato de, tendo as informações disponíveis, os agentes serem capazes de antecipar essa atitude tomada pela autoridade monetária, incorporando-a às suas expectativas, de forma que ela não altera a variável renda (a menos que decorra de um anuncio surpresa)"
"2020/11/09 10:12:22 AM GMT-3","Falso","Falso","De acordo com a política monetarista do tipo dois, quando há antecipação das ações tomadas pela autoridade monetária, não há efeito sobre a renda e desemprego, tornando a moeda super-neutra. Resumidamente, a análise dos novos clássicos sugere que uma antecipação do aumento da oferta de moeda leva a um aumento no nível de preços e não terão efeito no produto e emprego real, além disso, uma ação surpresa pode afetar as variáveis reais  apenas no curto prazo.  "
"2020/11/09 10:13:09 AM GMT-3","Falso","Falso","Se a expansão monetária for antecipada pelos agentes, não haverá efeito na renda, já que os agentes incorporarão a inflação gerada em suas expectativas. Apenas uma expansão monetária inesperada pelos agentes fará com que alterem a renda temporariamente, pois a inflação resultante não terá sido incorporada às expectativas, já que eles foram surpreendidos"
