,Ativo,Nome,Situação|CVM,Data do Bal,Setor NAICS|ult disponiv,Receita| Em moeda orig| em milhares| no exercício| consolid:sim*,Lucro Bruto| Em moeda orig| em milhares| no exercício| consolid:sim*,EBIT| Em moeda orig| em milhares| no exercício| consolid:sim*,Lucro Liquido| Em moeda orig| em milhares| no exercício| consolid:sim*,Capex| Em moeda orig| em milhares| de 12 meses| consolid:sim*,Invest Cap $| Em moeda orig| em milhares| consolid:sim*,Patrim Liq| Em moeda orig| em milhares| consolid:sim*,Ativo Tot| Em moeda orig| em milhares| consolid:sim*,Div Tt Bruta| Em moeda orig| em milhares| consolid:sim*,AlaFin| de 12 meses| consolid:sim*,CapGir| Em moeda orig| em milhares| consolid:sim*,RecFin| Em moeda orig| em milhares| no exercício| consolid:sim*,Estoques| Em moeda orig| em milhares| consolid:sim*,Ano,Nome_Ano,Tamanho,Capex%Ativo
0,25224 ON<BraNa>,2w Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995,2w Energia S/A1995,Pequena,
1,AESB3<XBSP>,AES Brasil,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995,AES Brasil1995,Pequena,
2,AESL3<XBSP>,AES Sul,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995,AES Sul1995,Pequena,
3,18970 ON<BraNa>,AES Tietê Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995,AES Tietê Energia S/A1995,Pequena,
4,ALUP11<XBSP>,Alupar,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995,Alupar1995,Pequena,
5,CBEE3<XBSP>,Ampla Energ,ATIVO,1995-12-31 00:00:00,"Geração, transmissão e distribuição de energia elétrica",405765.0,200390.0,-76728.0,-62795.0,30121.0,499230.0,135041.0,605562.0,190294.0,36699838756.0,-44678.0,19623.0,13904.0,1995,Ampla Energ1995,Pequena,0.04974057156822918
6,24210 ON<BraNa>,Argo Transmissão de Energia S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995,Argo Transmissão de Energia S/A1995,Pequena,
7,EBEN4<XBSP>,Bandeirante Energ,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995,Bandeirante Energ1995,Pequena,
8,23930 ON<BraNa>,Brasiliana Participações S/A,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995,Brasiliana Participações S/A1995,Pequena,
9,22683 ON<BraNa>,Cachoeira Paulista Trans de Energia SA,ATIVO,0,"Geração, transmissão e distribuição de energia elétrica",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995,Cachoeira Paulista Trans de Energia SA1995,Pequena,
