,ICMS Nominal milhões de reais,ICMS acumulado no ano nominal,Variação % sobre Acumulado nominal ano anterior,Variação % sobre mesmo mês ano anterior nominal,Índice da Produção Física Industrial com ajuste sazonal (Média 2012 = 100),Taxa de câmbio,Exportações FOB,Importações FOB
2002-01-31,2956.25360478,2956.25360478,0.08296296862494112,0.08296296862494112,75.7,2.3771,1262216472,1588583185
2002-02-28,2612.9778396300003,5569.23144441,0.12441157749225185,0.1753039269832739,78.6,2.4188,1345978624,1507819585
2002-03-31,2603.10072913,8172.33217354,0.0421239245891456,-0.09895443818258853,78.1,2.3458,1443341004,1654236906
2002-04-30,2964.82287562,11137.155049160001,0.050938131288463806,0.07602423274258685,78.2,2.3196,1614508483,1752896831
2002-05-31,2848.26398131,13985.41903047,0.0391381019659327,-0.004565058592251869,78.0,2.4796,1491268802,1666945463
2002-06-30,2934.2457861799994,16919.66481665,0.036287878181254785,0.022915019973960726,77.4,2.7132,1670856204,1537291228
2002-07-31,2999.9127828000005,19919.577599450004,0.03656138784390528,0.038106704117846446,77.9,2.9338,1827771725,2017743218
2002-08-31,2964.79350878,22884.371108230003,0.04022544478451451,0.0655311838096313,73.7,3.1093,1927443272,1634576016
2002-09-30,3204.6919397899997,26089.06304802,0.053332887020955067,0.15748248598072312,76.4,3.3412,1848616717,1559591383
2002-10-31,3933.6139081999995,30022.676956220002,0.08426968805072343,0.3465749800682534,80.0,3.8051,2073846739,1905826081
2002-11-30,3544.94011591,33567.61707213,0.10124012951408123,0.26952165788883864,76.9,3.5756,1611153555,1602194951
2002-12-31,3276.8227903700003,36844.4398625,0.10627740255426033,0.16066342781510756,75.9,3.6251,1952477950,1501744536
2003-01-31,3360.2956649299995,3360.2956649299995,0.13667368032860905,0.13667368032860905,76.6,3.4376,1595172980,1647513414
2003-02-28,3196.5577241999995,6556.853389129999,0.17733541056393043,0.22333901027367098,76.7,3.59,1552577332,1613283512
2003-03-31,3160.0108024,9716.86419153,0.18899525682409402,0.2139410384845648,76.8,3.4461,1598656910,1658057688
2003-04-30,3215.30735538,12932.17154691,0.16117370098797212,0.08448547865026135,76.5,3.1179,1746263176,1694502055
2003-05-31,3098.93022102,16031.10176793,0.14627253806289797,0.08800667401436257,74.1,2.9549,1825963355,1658890414
2003-06-30,3117.68234384,19148.78411177,0.13174724909008884,0.06251574374715596,75.1,2.8824,1794917806,1517652727
2003-07-31,3196.87578196,22345.65989373,0.1217938624535384,0.06565624183785834,73.2,2.879,1913437678,1722406020
2003-08-31,3159.7282124099997,25505.38810614,0.11453305775868095,0.06574984161720399,75.0,3.0017,2127731867,1599357551
2003-09-30,3340.8865506299994,28846.274656769998,0.10568457762070738,0.04249850325673554,78.3,2.922,2286178077,1776255335
2003-10-31,3423.21781718,32269.49247395,0.07483728119935384,-0.1297524624763069,79.8,2.8607,2243994077,1963505907
2003-11-30,3484.68063934,35754.17311329,0.06513885202102787,-0.016998729061613704,81.4,2.913,1792732509,1827506541
2003-12-31,3989.41356499,39743.58667828,0.07868614169734545,0.21746393387954255,80.0,2.9245,2512373245,1755867272
2004-01-31,3575.0946525500003,3575.0946525500003,0.06392264521892166,0.06392264521892166,81.6,2.851,1731789864,1924930166
2004-02-29,3262.9382461200003,6838.032898670001,0.04288329978616612,0.020766251589157125,82.5,2.9295,1794798366,1658893150
2004-03-31,3469.3529220500004,10307.385820720001,0.060772860209855395,0.0978927411941306,83.4,2.9047,2543382097,2445464591
2004-04-30,3656.95676836,13964.34258908,0.07981420896141977,0.1373583810707899,83.8,2.9052,2356503726,2160115405
2004-05-31,3667.43962898,17631.78221806,0.09984843670147114,0.18345343954626947,84.3,3.0996,2672334886,2170124770
2004-06-30,3831.5648213499994,21463.34703941,0.12087257938311224,0.22897858048960873,85.1,3.1283,2842920866,2461783457
2004-07-31,3742.9504009499997,25206.297440360002,0.12801759089838605,0.170815088303244,85.0,3.036,2870485959,2358440301
2004-08-31,3916.33499646,29122.63243682,0.14182275194664484,0.2394531216572322,86.3,3.0021,2888462479,2346996910
2004-09-30,4041.5190273700005,33164.15146419,0.14968576909138687,0.20971453718112065,89.8,2.8903,2893682050,2495773479
2004-10-31,4010.44360121,37174.5950654,0.15200433026362936,0.17154204476352852,86.7,2.8521,2742894319,2374163693
2004-11-30,4129.9926761,41304.5877415,0.15523823220923205,0.1851854168427387,87.0,2.7852,2629163825,2557402710
2004-12-31,4110.988326039999,45415.57606754,0.1427145827369365,0.030474343927866077,88.0,2.7174,3023611665,2258992250
2005-01-31,4208.89531918,4208.89531918,0.17728220599080635,0.17728220599080635,89.1,2.6922,2464549327,2256607354
2005-02-28,3877.7236551,8086.61897428,0.182594335843697,0.18841466267743456,86.6,2.597,2538508583,2093688665
2005-03-31,3987.7631904600003,12074.38216474,0.1714301157203184,0.14942563643933848,87.2,2.7039,2976696807,2513585852
2005-04-30,4165.23605777,16239.61822251,0.16293467586574728,0.13898969050102927,86.6,2.5784,2799490600,2276881964
2005-05-31,4065.2090785100004,20304.82730102,0.15160379421100334,0.10845971297982326,90.3,2.452,3123776558,2505186958
2005-06-30,4129.91171452,24434.73901554,0.13844028942336295,0.07786554764976716,88.5,2.4127,3272518284,2484104230
2005-07-31,4103.80619053,28538.545206069997,0.13219901786822685,0.09640945001259205,87.7,2.3727,3349843039,2598635336
2005-08-31,4157.09690059,32695.642106659998,0.12268841690707233,0.06147633038226452,88.6,2.3598,3725126939,3104597846
2005-09-30,4308.0148950699995,37003.65700173,0.1157727657131773,0.06593953063074398,87.2,2.2936,3721630669,2657472726
2005-10-31,4337.22622549,41340.883227219994,0.11207353178939505,0.08148291230960214,86.8,2.2557,3188967208,2669552503
2005-11-30,4367.002421359999,45707.88564857999,0.10660554063963845,0.057387449288120784,88.7,2.21,3346504491,2898949461
2005-12-31,4540.35452422,50248.24017279999,0.10640983829145023,0.10444354596199923,90.6,2.2847,3471454906,2693492054
2006-01-31,4500.8554451499995,4500.8554451499995,0.06936740019157339,0.06936740019157339,90.0,2.2731,2884562951,2563610074
2006-02-28,3695.2263159499994,8196.081761099998,0.013536285951910365,-0.04706300793507534,90.6,2.1611,2907237332,2366741790
2006-03-31,4782.906834640001,12978.98859574,0.0749194798257804,0.19939590346845004,90.5,2.1512,3785277334,3157696999
2006-04-30,4438.78504897,17417.77364471,0.07254822164273156,0.06567430690745857,91.7,2.1285,3202226159,2799712674
2006-05-31,4527.03719806,21944.81084277,0.08076816007529475,0.11360501037729431,92.6,2.1773,3602538315,3336773477
2006-06-30,4516.9931175,26461.80396027,0.08295832189739483,0.09372631420160737,90.2,2.2475,4058057593,3027132749
2006-07-31,4389.310788520001,30851.11474879,0.08103319654248287,0.06957068261382204,91.5,2.1885,4209667233,2885896611
2006-08-31,4500.399917520001,35351.51466631,0.08123016978794895,0.08258239467097273,91.3,2.1551,4565245213,3749143455
2006-09-30,4669.949268699999,40021.463935010004,0.08155428889471428,0.0840141880763201,89.2,2.1679,4090224367,3393863757
2006-10-31,5142.95381702,45164.41775203001,0.09248797380053286,0.18577024799737618,90.4,2.1475,4401694358,3660867074
2006-11-30,5576.91809208,50741.335844110006,0.11012214028513889,0.27705862144752413,91.0,2.1571,3895027144,3459008141
2006-12-31,5088.59306172,55829.928905830006,0.11108227300767148,0.12074795802298799,92.8,2.1491,4297697276,2878602859
2007-01-31,4980.59752973,4980.59752973,0.10658908965782454,0.10658908965782454,91.4,2.1377,3660242610,3690310749
2007-02-28,4689.489271699999,9670.08680143,0.17984264716902665,0.269066863769178,93.7,2.0955,3239824977,2924077075
2007-03-31,4610.97882736,14281.065628789998,0.10032191826390613,-0.03594634251180051,93.2,2.0879,4308300329,3966986463
2007-04-30,4909.1666248599995,19190.23225365,0.10176149059545958,0.10597079396740527,94.4,2.0312,3861988458,3371672726
2007-05-31,5092.643328,24282.875581649998,0.10654294336969894,0.12493958083277579,94.4,1.9808,4513640248,4060157803
2007-06-30,5037.81178039,29320.68736204,0.10803811433499977,0.11530207138731607,97.0,1.9311,4416842712,3829648975
2007-07-31,5114.89839207,34435.58575411,0.11618610978913102,0.16530786688601173,96.3,1.882,4213195860,4013863424
2007-08-31,5234.57447916,39670.16023327,0.12216295702530866,0.16313540465189935,96.8,1.9652,4781300887,4736308871
2007-09-30,5780.832974069999,45450.99320734,0.13566543395681108,0.23787918057603297,98.8,1.8988,4605696422,4181680398
2007-10-31,5499.88070025,50950.873907589994,0.1281197996912049,0.06940114493130234,100.9,1.8002,4687472047,4942964990
2007-11-30,5588.64497022,56539.51887780999,0.11426942033046683,0.0021027524425458743,98.3,1.7691,4669306615,4917874136
2007-12-31,5677.83254753,62217.35142533999,0.11440857340663713,0.11579615006801713,99.0,1.7852,4462726563,4019565864
2008-01-31,5935.233861479999,5935.233861479999,0.1916710446992793,0.1916710446992793,101.5,1.7735,3935849737,4868924337
2008-02-29,5487.65072194,11422.88458342,0.18125977749556488,0.1702022126496212,100.0,1.7269,4208821229,4622480631
2008-03-31,5330.379703399999,16753.26428682,0.17311023716928764,0.15601912369914084,101.8,1.7068,4227166039,4469334042
2008-04-30,5863.71828873,22616.98257555,0.17856742308307538,0.1944427103036499,102.2,1.6881,4542800840,5126581898
2008-05-31,6184.376216690001,28801.35879224,0.18607694115125772,0.21437450423584825,102.4,1.6597,4737443579,5461544198
2008-06-30,6354.79822366,35156.1570159,0.19902226649075372,0.2614203349947397,105.5,1.6181,5513614871,5895610051
2008-07-31,6433.14935463,41589.306370529994,0.20774209178556458,0.25772769300828724,104.6,1.5906,5471515828,6642018993
