,IDN,ZAF,AUS,AUT,BEL,CAN,CZE,DNK,FIN,FRA,DEU,GRC,HUN,IRL,ITA,JPN,KOR,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,ESP,SWE,CHE,TUR,GBR,USA,BRA,CHL,EST,IND,ISR,RUS,SVN,CHN,OECD + Major Six NME,Major Five Asia,Four Big European,G7,NAFTA,OECD - Total,OECD - Europe,Euro area (19 countries),LVA,OECD total ,LTU,ISL,COL
2007-01-31,,100.7227,100.2519,98.98354,98.9343,98.8323,100.0478,100.3138,100.3187,98.95726,98.00048,101.3233,98.35963,102.1967,101.163,100.6183,,,,100.5568,100.8562,,,99.94758,,99.84298,96.56398,97.18317,,100.7656,100.9353,99.2542,,98.01032,,,,101.8063,102.1718,99.85114,101.0565,,100.3693,,100.4719,99.92899,99.25574,,101.1198,,,
2007-02-28,,100.8037,100.229,98.93861,99.09286,98.8281,99.88916,100.5212,100.6465,98.96641,98.04607,101.514,98.51398,102.3016,101.0676,100.4809,,,,100.6368,101.1034,,,99.95951,,99.87313,96.48436,97.39095,,100.9759,101.0247,99.31802,,98.04856,,,,101.9178,102.1386,99.88216,100.9635,,100.3986,,100.5072,99.98004,99.29312,,101.1468,,,
2007-03-31,,100.8679,100.2765,98.91464,99.23546,98.7848,99.74703,100.7346,100.7724,99.01366,98.08633,101.5269,98.6426,102.3851,100.9381,100.2318,,,,100.775,101.2362,,,99.86941,,100.07,96.49324,97.71608,,101.1539,101.1451,99.42072,,98.09499,,,,101.825,102.0855,99.91218,100.7979,,100.418,,100.5411,100.0395,99.34196,,101.1675,,,
2007-04-30,,100.8975,100.3813,98.86673,99.38434,98.7895,99.64465,100.7842,100.8353,99.12616,98.14941,101.3844,98.72365,102.4059,100.8784,99.82487,,,,100.8437,101.2606,,,99.70997,,100.2897,96.54768,98.0326,,101.2769,101.2475,99.53051,,98.1828,,,,101.8714,101.8937,99.9108,100.4829,,100.4135,,100.5522,100.1087,99.40739,,101.1415,,,
2007-05-31,,100.8688,100.4131,98.79017,99.41266,98.8998,99.53033,100.8141,101.1199,99.2794,98.23309,101.1818,98.67906,102.5077,100.8922,99.39474,,,,100.9616,101.1902,,,99.64733,,100.5636,96.56397,98.25838,,101.3045,101.2626,99.61909,,98.29741,,,,101.835,101.3791,99.85416,100.018,,100.3753,,100.5339,100.1874,99.51475,,101.0556,,,
2007-06-30,,100.7637,100.5119,98.74319,99.30172,99.1092,99.34161,100.8951,101.4659,99.3597,98.32952,101.0655,98.63461,102.6469,100.9037,99.13775,,,,101.1377,101.0217,,,99.80994,,100.7842,96.7705,98.42406,,101.3768,101.3125,99.69308,,98.38834,,,,101.7342,100.5262,99.80192,99.50943,,100.3855,,100.5587,100.2681,99.6222,,101.0418,,,
2007-07-31,,100.6398,100.4652,98.75929,99.17516,99.3672,99.0625,100.9748,101.7543,99.34848,98.32397,101.0506,98.64832,102.9257,100.8406,99.21661,,,,101.2611,100.8056,,,100.0462,,100.7929,97.21626,98.58279,,101.5668,101.4287,99.7378,,98.38748,,,,101.5962,99.91797,99.81017,99.28586,,100.4684,,100.6366,100.3058,99.62339,,101.1512,,,
2007-08-31,,100.5702,100.3977,98.84378,99.03493,99.6597,98.62601,101.0349,101.9261,99.27941,98.31966,101.1287,98.70495,103.152,100.6797,99.4918,,,,101.3333,100.5865,,,100.2701,,100.7888,97.73405,98.78002,,101.673,101.5595,99.77356,,98.21786,,,,101.4848,99.63952,99.8654,99.31686,,100.5754,,100.7332,100.3066,99.59219,,101.3206,,,
2007-09-30,,100.6027,100.2266,98.90714,98.99728,99.9905,98.00267,100.9519,101.9771,99.30589,98.30989,101.1723,98.77724,103.2968,100.4334,99.79311,,,,101.3928,100.3915,,,100.4543,,100.8164,98.13956,99.03024,,101.7401,101.7219,99.71622,,97.89413,,,,101.322,99.63233,99.95095,99.48175,,100.6998,,100.8399,100.2963,99.56137,,101.5165,,,
2007-10-31,,100.6639,100.0248,98.89517,99.05798,100.3431,97.57968,100.8348,101.8272,99.54516,98.26997,101.1863,98.88572,103.3847,100.2334,99.99483,,,,101.371,100.2213,,,100.609,,100.943,98.42641,99.35864,,101.8339,101.9053,99.53353,,97.79181,,,,101.2427,99.80309,100.0562,99.66936,,100.8357,,100.9575,100.3265,99.57587,,101.703,,,
