,IDN,ZAF,AUS,AUT,BEL,CAN,CZE,DNK,FIN,FRA,DEU,GRC,HUN,IRL,ITA,JPN,KOR,LUX,MEX,NLD,NZL,NOR,POL,PRT,SVK,ESP,SWE,CHE,TUR,GBR,USA,BRA,CHL,EST,IND,ISR,RUS,SVN,CHN,OECD + Major Six NME,Major Five Asia,Four Big European,G7,NAFTA,OECD - Total,OECD - Europe,Euro area (19 countries),LVA,OECD total ,LTU,ISL,COL
2007-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.24746,27.27995,76.94312,71.16582,63.42577,67.23706,69.62154,75.97039,,,,,
2007-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.40567,27.42696,77.04498,71.33759,63.6521,67.41952,69.7516,76.08968,,,,,
2007-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.56138,27.57047,77.14346,71.50504,63.87158,67.60085,69.88663,76.20486,,,,,
2007-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.71542,27.70624,77.24373,71.66885,64.08516,67.78268,70.03407,76.32128,,,,,
2007-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.86987,27.8314,77.35339,71.8314,64.29707,67.968,70.20071,76.44702,,,,,
2007-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.02819,27.94626,77.48222,71.99928,64.51791,68.16259,70.38975,76.59279,,,,,
2007-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.19422,28.05262,77.63931,72.17987,64.75948,68.37276,70.60272,76.76924,,,,,
2007-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.37204,28.15836,77.82793,72.37788,65.02869,68.60071,70.83539,76.98035,,,,,
2007-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.55938,28.26479,78.0399,72.59015,65.32005,68.84102,71.07883,77.21837,,,,,
2007-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.75175,28.37184,78.26331,72.81002,65.62222,69.08501,71.32339,77.47115,,,,,
