,BRA
2020-01-01,55746
2020-01-02,64440
2020-01-03,63196
2020-01-04,60802
2020-01-05,57260
2020-01-06,67547
2020-01-07,71357
2020-01-08,71841
2020-01-09,73055
2020-01-10,73661
2020-01-11,67456
2020-01-12,61742
2020-01-13,71369
2020-01-14,72573
2020-01-15,74295
2020-01-16,75609
2020-01-17,71852
2020-01-18,64074
2020-01-19,59082
2020-01-20,70081
2020-01-21,71751
2020-01-22,70320
2020-01-23,68883
2020-01-24,68210
2020-01-25,63181
2020-01-26,59024
2020-01-27,71201
2020-01-28,73240
2020-01-29,73866
2020-01-30,74138
2020-01-31,74099
2020-02-01,68001
2020-02-02,61497
2020-02-03,71539
2020-02-04,72477
2020-02-05,72593
2020-02-06,72333
2020-02-07,72045
2020-02-08,65859
2020-02-09,60182
2020-02-10,69925
2020-02-11,69322
2020-02-12,69107
2020-02-13,69139
2020-02-14,70367
2020-02-15,66505
2020-02-16,61823
2020-02-17,73955
2020-02-18,76128
2020-02-19,76014
2020-02-20,75454
2020-02-21,72992
2020-02-22,63738
2020-02-23,56500
2020-02-24,61898
2020-02-25,63383
2020-02-26,69004
2020-02-27,70103
2020-02-28,69253
2020-02-29,63526
2020-03-01,57214
2020-03-02,67074
2020-03-03,68781
2020-03-04,69710
2020-03-05,70481
2020-03-06,69753
2020-03-07,63619
2020-03-08,58153
2020-03-09,70069
2020-03-10,72677
2020-03-11,73197
2020-03-12,73408
2020-03-13,73978
2020-03-14,67453
2020-03-15,61840
2020-03-16,72332
2020-03-17,72394
2020-03-18,72926
2020-03-19,71328
2020-03-20,69452
2020-03-21,61917
2020-03-22,56375
2020-03-23,62561
2020-03-24,61716
2020-03-25,61372
2020-03-26,61283
2020-03-27,60880
2020-03-28,58489
2020-03-29,55382
2020-03-30,61587
2020-03-31,62572
2020-04-01,62252
2020-04-02,62612
2020-04-03,61720
2020-04-04,56753
2020-04-05,53558
2020-04-06,60709
2020-04-07,60703
2020-04-08,59476
2020-04-09,57932
2020-04-10,50949
2020-04-11,52179
2020-04-12,49814
2020-04-13,57391
2020-04-14,58439
2020-04-15,58718
2020-04-16,57464
2020-04-17,57320
2020-04-18,53545
2020-04-19,49502
2020-04-20,54719
2020-04-21,54233
2020-04-22,58329
2020-04-23,58701
2020-04-24,58568
2020-04-25,54521
2020-04-26,50825
2020-04-27,57644
2020-04-28,58886
2020-04-29,59618
2020-04-30,59465
