,Total,Hidráulica,Térmica,Eólica,Solar,Intercâmbio,Carga
2019-01-01,54589,41516,6587,6010,475,0,54589
2019-01-02,66294,51072,7216,7486,520,0,66294
2019-01-03,70555,56087,7124,6797,547,0,70555
2019-01-04,70006,57930,6705,4979,391,0,70006
2019-01-05,63823,50258,7015,6190,359,0,63823
2019-01-06,59370,46631,7078,5284,377,0,59370
2019-01-07,70431,57670,6849,5522,390,0,70431
2019-01-08,72888,60248,6943,5312,385,0,72888
2019-01-09,73662,59942,6966,6301,454,0,73662
2019-01-10,73917,61005,7083,5433,396,0,73917
2019-01-11,73055,59956,7013,5651,435,0,73055
2019-01-12,67125,55038,7295,4311,480,0,67125
2019-01-13,61454,50179,6520,4277,478,0,61454
2019-01-14,73201,60608,8049,4141,404,0,73310
2019-01-15,74918,62085,8047,4336,450,-16,75229
2019-01-16,76194,62783,8842,4079,490,-15,76505
2019-01-17,75889,62009,9010,4406,464,-11,76151
2019-01-18,75273,60696,8990,5082,504,-40,75541
2019-01-19,68149,56104,6021,5593,430,-44,68193
2019-01-20,62341,51126,5830,4967,418,-44,62385
2019-01-21,74406,59881,7466,6595,465,-16,74423
2019-01-22,77313,62179,7928,6721,486,-101,77414
2019-01-23,78234,64199,8487,5081,467,-177,78510
2019-01-24,77366,63533,7712,5708,413,-110,77502
2019-01-25,74624,60484,7629,6058,453,0,74626
2019-01-26,66611,52881,8639,4721,370,-44,66873
2019-01-27,60868,46385,8349,5659,476,-45,61132
2019-01-28,73960,58310,8711,6383,556,-17,74061
2019-01-29,77656,61138,9641,6284,593,16,77784
2019-01-30,78943,62666,9793,5892,591,0,79042
2019-01-31,78736,62144,10273,5770,550,-161,78997
2019-02-01,78498,61919,10405,5646,529,0,78598
2019-02-02,70811,53891,10050,6394,475,0,71167
2019-02-03,63993,49400,10335,3823,435,0,64349
2019-02-04,72063,58235,10882,2473,473,0,72419
2019-02-05,70975,57276,11415,1919,365,-21,71333
2019-02-06,69615,55341,11127,2859,288,-5,69971
2019-02-07,69250,54029,10540,4338,344,0,69606
2019-02-08,71170,56317,9963,4463,427,13,71485
2019-02-09,66404,51327,9664,4980,433,-50,66810
2019-02-10,61707,45589,9748,5961,408,-50,62051
2019-02-11,73868,55825,10370,7108,565,-50,74162
2019-02-12,74645,57358,10525,6250,512,-51,74696
2019-02-13,71420,56541,11806,2584,489,-61,71481
2019-02-14,70327,55308,12540,1996,483,-71,70397
2019-02-15,69984,54672,12916,2023,374,-74,70057
2019-02-16,63585,49023,12655,1549,357,-367,63955
2019-02-17,57504,42543,12615,2020,325,-367,57874
2019-02-18,69275,53724,12221,2976,354,-145,69422
2019-02-19,71394,56245,12514,2161,475,-70,71464
2019-02-20,72357,57055,12482,2372,448,-71,72428
2019-02-21,72051,56711,11903,2994,443,-71,72121
2019-02-22,72876,57058,11575,3731,513,-71,72947
2019-02-23,68298,55482,9474,2919,422,-70,68368
2019-02-24,63421,51081,9890,1994,455,-72,63493
2019-02-25,73412,60303,11377,1291,442,-74,73486
2019-02-26,71200,57446,11868,1473,413,-141,71340
2019-02-27,70744,57428,11107,1815,394,-143,70887
2019-02-28,69998,56481,10516,2594,407,-245,70243
2019-03-01,69246,55242,11066,2546,391,-141,69390
2019-03-02,63216,49606,10454,2790,366,-1,63217
2019-03-03,57319,44148,10043,2696,432,0,57319
2019-03-04,61717,47608,10046,3654,409,0,61717
2019-03-05,62383,47000,9928,5033,422,0,62383
2019-03-06,68447,53461,10035,4473,479,0,68447
2019-03-07,72029,58821,8027,4665,517,0,72029
2019-03-08,72837,60437,7417,4458,525,-71,72908
2019-03-09,66798,52977,7683,5622,515,-71,66868
2019-03-10,60403,48084,8023,3826,471,-47,60501
2019-03-11,68986,55090,8983,4456,457,0,69134
2019-03-12,70366,55048,9390,5430,498,0,70496
2019-03-13,71845,58331,8828,4227,460,0,71993
2019-03-14,72448,60241,9017,2708,482,0,72596
2019-03-15,71797,59232,8823,3234,508,0,71943
2019-03-16,65136,52746,8190,3798,402,-9,65146
2019-03-17,59013,47468,8536,2623,386,-10,59023
2019-03-18,71017,59191,9757,1586,483,-48,71065
2019-03-19,73048,61455,9501,1622,470,-48,73096
2019-03-20,71839,59718,9720,2008,394,-48,71887
2019-03-21,68166,56430,9811,1677,247,-45,68211
2019-03-22,66470,54913,10110,1122,325,-47,66517
2019-03-23,61348,49849,10246,990,263,0,61348
2019-03-24,57108,45148,10032,1649,279,0,57108
2019-03-25,67918,55424,10137,1986,371,0,67998
2019-03-26,69632,57149,10388,1775,320,0,69858
2019-03-27,69044,55679,9197,3796,373,0,69271
2019-03-28,68161,52770,9292,5686,412,0,68305
2019-03-29,67142,51329,9372,5959,483,0,67285
2019-03-30,61669,47265,9630,4266,508,-23,61743
2019-03-31,56423,43460,9200,3300,463,0,56518
2019-04-01,67217,55310,8666,2806,436,0,67353
2019-04-02,69222,56457,9820,2511,434,0,69358
2019-04-03,70480,57681,9296,3062,441,0,70616
2019-04-04,71490,58989,9846,2240,416,-50,71541
2019-04-05,71843,58874,10432,2142,395,0,71843
2019-04-06,64520,52802,9146,2252,320,0,64520
2019-04-07,57907,45846,8537,3189,336,0,57907
2019-04-08,67600,55202,8373,3622,402,0,67600
2019-04-09,67402,54699,8713,3545,445,0,67402
2019-04-10,67275,54448,9943,2485,399,0,67275
2019-04-11,67554,54832,10050,2291,382,0,67554
2019-04-12,67921,54559,9937,2991,435,0,67921
2019-04-13,62701,49721,8603,3979,398,-57,62758
2019-04-14,57140,44012,8209,4540,378,-71,57211
2019-04-15,67774,55261,8373,3696,445,-71,67845
2019-04-16,68656,55489,8522,4178,468,-71,68727
2019-04-17,68276,56202,8902,2807,365,-71,68347
2019-04-18,66878,55126,9397,1889,466,-71,66948
2019-04-19,55908,44475,9033,1985,414,-71,55978
2019-04-20,57562,45709,9114,2346,393,0,57563
2019-04-21,54334,42496,8146,3275,417,0,54334
2019-04-22,66103,53173,7148,5275,507,0,66103
2019-04-23,67213,54027,7120,5627,439,0,67213
2019-04-24,68300,54279,7221,6311,489,0,68300
2019-04-25,69025,55014,7258,6288,465,0,69025
2019-04-26,69144,55633,7420,5622,469,0,69144
2019-04-27,62842,49453,7556,5356,477,0,63177
2019-04-28,56563,44060,7572,4459,472,0,56792
2019-04-29,65988,54977,8683,1857,471,0,66127
2019-04-30,66422,54177,8998,2807,440,0,66562
2019-05-01,57336,45204,7607,4134,391,0,57612
2019-05-02,65584,52949,7563,4681,391,0,65706
2019-05-03,66991,53359,7336,5903,393,0,67113
2019-05-04,61209,47672,6295,6797,444,-33,61357
2019-05-05,56285,42802,6476,6547,460,0,56460
2019-05-06,67385,53703,7349,5830,503,0,67475
2019-05-07,67715,55609,7707,3929,470,0,67809
2019-05-08,66522,54161,8183,3744,434,0,66616
2019-05-09,65792,50740,7792,6834,426,0,65886
2019-05-10,66020,51643,7527,6368,481,0,66111
2019-05-11,60934,48018,6490,5996,429,0,60934
2019-05-12,54899,42837,6389,5190,483,0,54899
2019-05-13,65608,54255,6882,4006,465,0,65608
2019-05-14,66616,55270,7703,3199,444,0,66616
2019-05-15,64764,53751,8114,2545,354,0,64764
2019-05-16,64099,52326,8575,2952,246,0,64099
2019-05-17,63094,51036,7739,4085,234,0,63094
2019-05-18,57150,44442,7703,4591,414,-31,57181
2019-05-19,51936,39566,7809,4156,405,0,51936
2019-05-20,61918,49313,7881,4300,424,0,61919
2019-05-21,63730,50099,7773,5415,444,0,63787
2019-05-22,64511,51326,7635,5095,455,0,64571
2019-05-23,64851,51165,8806,4413,469,0,64908
2019-05-24,64725,51004,9087,4213,421,0,64725
2019-05-25,58065,44519,8541,4614,391,0,58065
2019-05-26,52196,37987,8433,5402,374,0,52196
2019-05-27,62068,46918,8778,5913,458,0,62068
2019-05-28,64288,48974,8758,6084,472,0,64288
2019-05-29,65025,50168,8713,5692,452,0,65025
2019-05-30,65551,49874,8713,6534,431,0,65551
2019-05-31,65614,50488,8992,5713,420,0,65614
2019-06-01,60366,47017,8017,4859,473,537,59830
2019-06-02,53878,40588,7873,4992,425,360,53519
2019-06-03,63370,48872,7874,6196,429,521,62850
2019-06-04,63807,50433,7767,5159,448,555,63252
2019-06-05,62375,46837,7753,7296,488,590,61785
2019-06-06,62283,45842,7965,8040,436,592,61691
2019-06-07,62569,47032,8207,6890,439,574,61995
2019-06-08,57528,42707,8062,6329,430,459,57069
2019-06-09,51818,36701,8074,6567,475,375,51442
2019-06-10,61722,45658,8381,7259,424,682,61040
2019-06-11,63579,48174,8085,6920,400,676,62903
2019-06-12,64042,48963,8134,6589,355,638,63404
2019-06-13,63876,48692,8094,6717,373,258,63618
2019-06-14,64497,48746,7809,7526,416,626,63871
2019-06-15,59462,43078,8321,7647,417,649,58813
2019-06-16,53109,37679,8888,6106,437,279,52830
2019-06-17,62098,46934,8917,5946,300,0,62098
2019-06-18,63275,47810,9055,6106,304,0,63275
2019-06-19,63460,47316,8375,7299,470,0,63460
2019-06-20,56737,40306,8245,7718,468,0,56737
2019-06-21,59378,41160,8873,8875,470,0,59378
2019-06-22,55883,38401,9181,7821,479,0,55883
2019-06-23,51157,34796,9068,6823,470,0,51157
2019-06-24,60186,43547,9791,6374,475,0,60186
2019-06-25,63129,45279,10110,7298,441,0,63129
2019-06-26,63652,46226,9736,7259,432,0,63652
2019-06-27,64069,46714,9577,7357,420,0,64069
2019-06-28,63855,46072,9305,7988,490,0,63857
2019-06-29,58379,41119,9274,7612,374,0,58624
2019-06-30,52544,35588,9145,7346,465,0,52789
2019-07-01,62046,44008,10963,6592,482,0,62132
2019-07-02,63519,46519,11587,4932,481,0,63606
2019-07-03,64155,47534,11773,4405,444,0,64236
2019-07-04,64057,46870,11673,5070,444,0,64057
