,ESP
2020-01-01,22749.52397260274
2020-01-02,28531.12100456621
2020-01-03,29669.235159817355
2020-01-04,27320.9200913242
2020-01-05,25808.518264840186
2020-01-06,25026.545662100456
2020-01-07,31303.272831050228
2020-01-08,32459.929223744293
2020-01-09,32665.849315068488
2020-01-10,32490.05365296804
2020-01-11,29182.559360730596
2020-01-12,27677.25228310502
2020-01-13,33154.590182648404
2020-01-14,33466.33219178082
2020-01-15,33018.897260273974
2020-01-16,32666.519406392697
2020-01-17,32143.92579908676
2020-01-18,28807.734018264844
2020-01-19,27220.755707762553
2020-01-20,33545.912100456626
2020-01-21,34390.26484018265
2020-01-22,33593.78767123288
2020-01-23,33032.71461187215
2020-01-24,32603.700913242013
2020-01-25,28989.97146118722
2020-01-26,26710.546803652967
2020-01-27,31960.22146118721
2020-01-28,31969.378995433795
2020-01-29,31419.986301369863
2020-01-30,30887.26255707763
2020-01-31,30365.195205479453
2020-02-01,26891.04223744292
2020-02-02,24821.94292237443
2020-02-03,28915.63470319634
2020-02-04,29555.801369863013
2020-02-05,29939.85616438356
2020-02-06,30398.648401826493
2020-02-07,30582.284246575335
2020-02-08,27562.086757990874
2020-02-09,25694.178082191782
2020-02-10,29747.909817351603
2020-02-11,30203.05365296804
2020-02-12,30371.76712328767
2020-02-13,30123.86757990867
2020-02-14,29948.70205479453
2020-02-15,26724.687214611877
2020-02-16,24857.429223744293
2020-02-17,29269.735159817348
2020-02-18,30264.74771689498
2020-02-19,30253.79680365297
2020-02-20,30190.55251141552
2020-02-21,29745.978310502276
2020-02-22,26519.527397260274
2020-02-23,24440.16894977169
2020-02-24,28958.754566210053
2020-02-25,29409.085616438355
2020-02-26,29754.239726027397
2020-02-27,29664.813926940642
2020-02-28,28798.66552511415
2020-02-29,26520.021689497717
2020-03-01,24731.33219178082
2020-03-02,29244.37328767123
2020-03-03,30367.307077625574
2020-03-04,29930.5502283105
2020-03-05,29811.76712328767
2020-03-06,29952.840182648404
2020-03-07,26945.00228310502
2020-03-08,24931.412100456622
2020-03-09,29194.486301369863
2020-03-10,29405.260273972603
2020-03-11,29475.567351598173
2020-03-12,29188.083333333336
2020-03-13,28773.751141552515
2020-03-14,25348.227168949772
2020-03-15,23616.067351598176
2020-03-16,27716.309360730593
2020-03-17,27879.522831050228
2020-03-18,27010.558219178078
2020-03-19,25195.512557077625
2020-03-20,25658.988584474886
2020-03-21,24344.761415525118
2020-03-22,23080.237442922375
2020-03-23,25855.284246575346
2020-03-24,26168.494292237447
2020-03-25,26244.243150684935
2020-03-26,26081.101598173518
2020-03-27,26397.489726027394
2020-03-28,23887.011415525118
2020-03-29,22162.939285714285
2020-03-30,24059.100456621003
2020-03-31,24199.76712328767
2020-04-01,23888.585616438355
2020-04-02,23673.450913242013
2020-04-03,23119.841324200916
2020-04-04,21487.663242009134
2020-04-05,20507.91894977169
2020-04-06,22527.131278538815
2020-04-07,22462.23287671233
2020-04-08,22065.8002283105
2020-04-09,21086.514840182652
2020-04-10,20227.328767123283
2020-04-11,20561.77054794521
2020-04-12,19854.535388127857
2020-04-13,21459.055936073062
2020-04-14,23327.117579908678
2020-04-15,23921.453196347033
2020-04-16,23891.408675799084
2020-04-17,23721.098173515988
2020-04-18,21909.318493150684
2020-04-19,20626.144977168948
2020-04-20,23148.69178082192
2020-04-21,24005.11529680365
2020-04-22,24097.369863013697
2020-04-23,23993.738584474886
2020-04-24,23751.607305936068
2020-04-25,22130.382420091322
2020-04-26,20708.271689497717
2020-04-27,23419.01712328767
2020-04-28,23945.8002283105
2020-04-29,24018.985159817348
2020-04-30,23476.198630136987
2020-05-01,20652.01712328767
2020-05-02,21040.673515981736
2020-05-03,20434.93493150685
2020-05-04,23236.70433789954
2020-05-05,24166.715753424658
2020-05-06,24397.82762557078
2020-05-07,24052.603881278537
2020-05-08,23754.75684931507
2020-05-09,21642.203196347033
2020-05-10,20226.253424657534
2020-05-11,23375.88470319635
2020-05-12,24638.460045662097
2020-05-13,24392.071917808218
2020-05-14,24452.87671232877
2020-05-15,23891.62328767123
2020-05-16,21814.447488584472
2020-05-17,20545.301369863013
2020-05-18,23608.796803652967
2020-05-19,24339.89611872146
2020-05-20,24973.10616438356
2020-05-21,25213.08447488585
2020-05-22,25375.804794520547
2020-05-23,23082.31506849315
2020-05-24,21656.100456621007
2020-05-25,24999.520547945205
2020-05-26,25674.74315068493
2020-05-27,25866.68607305936
2020-05-28,25705.670091324195
2020-05-29,25656.13698630137
2020-05-30,23283.85616438356
2020-05-31,21558.37214611872
2020-06-01,24898.107305936075
2020-06-02,25997.68721461187
2020-06-03,26401.51598173516
2020-06-04,25827.636986301368
2020-06-05,25390.18721461187
2020-06-06,23043.374429223742
2020-06-07,21286.304794520547
2020-06-08,24677.07534246575
2020-06-09,25441.260273972603
2020-06-10,25908.809360730593
2020-06-11,25858.817351598176
2020-06-12,25601.925799086755
2020-06-13,23034.190639269407
2020-06-14,21410.54794520548
2020-06-15,25446.00342465753
2020-06-16,26052.10616438356
2020-06-17,26086.320776255707
2020-06-18,26042.756849315065
2020-06-19,26135.59931506849
2020-06-20,24202.37328767123
2020-06-21,22883.3299086758
2020-06-22,27366.78767123287
2020-06-23,28297.587899543378
2020-06-24,26643.49885844749
2020-06-25,28478.247716894974
2020-06-26,27896.3196347032
2020-06-27,25368.70205479452
2020-06-28,24226.994292237447
2020-06-29,28937.642694063932
2020-06-30,30017.408675799088
2020-07-01,30383.01940639269
2020-07-02,30403.431506849316
2020-07-03,29105.83219178082
2020-07-04,26368.789954337903
2020-07-05,24993.340182648404
2020-07-06,30160.10844748859
2020-07-07,30999.171232876713
2020-07-08,31128.323059360726
2020-07-09,30583.568493150684
2020-07-10,29920.835616438355
2020-07-11,27211.32077625571
2020-07-12,25047.494292237447
2020-07-13,29784.49429223744
2020-07-14,29932.718036529677
2020-07-15,30025.489726027397
2020-07-16,30154.62557077626
2020-07-17,29889.96232876711
2020-07-18,27162.240867579905
2020-07-19,25556.223744292238
2020-07-20,30467.426940639267
2020-07-21,31126.35159817352
2020-07-22,30845.02397260274
2020-07-23,31259.64840182648
2020-07-24,31042.549086757987
2020-07-25,27713.811643835616
2020-07-26,26270.707762557075
2020-07-27,31478.97146118721
2020-07-28,32188.783105022834
2020-07-29,32252.457762557082
2020-07-30,32611.344748858446
2020-07-31,32088.272831050228
2020-08-01,28969.745433789958
2020-08-02,26430.2796803653
2020-08-03,29303.455479452055
2020-08-04,29583.32762557078
2020-08-05,30332.337899543378
2020-08-06,30721.812785388123
2020-08-07,30664.378995433795
2020-08-08,27667.956621004567
2020-08-09,25993.398401826485
2020-08-10,29070.125570776254
2020-08-11,28886.27397260274
2020-08-12,27966.570776255707
2020-08-13,28208.40296803653
2020-08-14,27876.004566210046
2020-08-15,24656.496575342466
2020-08-16,23124.128995433788
2020-08-17,26608.618721461185
2020-08-18,27867.804794520544
2020-08-19,28603.175799086755
2020-08-20,28704.66780821918
2020-08-21,29097.65639269407
2020-08-22,26485.970319634704
2020-08-23,24463.614155251144
2020-08-24,28935.866438356163
2020-08-25,30547.654109589042
2020-08-26,31279.275114155247
2020-08-27,31507.12328767123
2020-08-28,30267.280821917808
2020-08-29,24709.95890410959
2020-08-30,22324.58219178082
2020-08-31,26847.42351598174
2020-09-01,27731.36529680365
2020-09-02,28122.181506849316
2020-09-03,28536.019406392694
2020-09-04,28672.06621004567
2020-09-05,25736.18721461187
2020-09-06,23742.415525114156
2020-09-07,27364.36643835616
2020-09-08,27669.010273972603
2020-09-09,28451.59931506849
2020-09-10,28615.456621004567
2020-09-11,27735.43607305936
2020-09-12,25824.41095890411
2020-09-13,24104.763698630137
2020-09-14,28662.067351598176
2020-09-15,29486.04680365297
2020-09-16,29905.444063926945
2020-09-17,29345.602739726026
2020-09-18,28260.818493150684
2020-09-19,24697.640410958906
2020-09-20,22748.319634703195
2020-09-21,27095.33789954338
2020-09-22,27941.689497716896
2020-09-23,28132.93150684932
2020-09-24,28093.83789954338
2020-09-25,27167.614155251144
2020-09-26,23982.381278538815
2020-09-27,22216.01712328767
2020-09-28,26396.67694063927
2020-09-29,27359.67694063927
2020-09-30,27514.28652968037
2020-10-01,27750.670091324202
2020-10-02,27521.063926940642
2020-10-03,24065.945205479456
2020-10-04,22590.29109589041
2020-10-05,26823.958904109586
2020-10-06,27507.090182648408
2020-10-07,27740.98401826484
2020-10-08,27865.286529680365
2020-10-09,26976.17237442923
2020-10-10,24121.165525114156
2020-10-11,22180.075342465752
2020-10-12,22577.14155251141
2020-10-13,26736.415525114156
2020-10-14,27817.986301369863
2020-10-15,27976.791095890403
2020-10-16,27837.953196347033
2020-10-17,25103.652968036527
2020-10-18,23107.044520547945
2020-10-19,27345.666666666668
2020-10-20,28213.484018264844
2020-10-21,27968.705479452055
2020-10-22,28121.90639269406
2020-10-23,27530.610730593613
2020-10-24,24557.63470319635
2020-10-25,22833.512061403508
2020-10-26,27249.06735159817
2020-10-27,28164.69634703196
2020-10-28,28413.180365296805
2020-10-29,28451.389269406398
2020-10-30,28025.536529680365
2020-10-31,24845.195205479453
2020-11-01,22774.119863013697
2020-11-02,25633.601598173518
2020-11-03,27720.037671232876
2020-11-04,28861.587899543385
2020-11-05,28871.14840182648
2020-11-06,28064.436073059365
2020-11-07,25026.641552511417
2020-11-08,23112.85388127854
2020-11-09,27365.013698630137
2020-11-10,28275.611872146117
2020-11-11,28574.078767123283
2020-11-12,28586.206621004567
2020-11-13,28336.197488584472
2020-11-14,25418.084474885844
2020-11-15,23161.715753424658
2020-11-16,27480.02853881279
2020-11-17,28396.6803652968
2020-11-18,28584.57077625571
2020-11-19,28282.037671232873
2020-11-20,28114.044520547945
2020-11-21,25615.866438356163
2020-11-22,24250.08675799087
2020-11-23,29088.827625570775
2020-11-24,30234.101598173515
2020-11-25,30444.20205479452
2020-11-26,30310.91780821918
2020-11-27,30040.66324200913
2020-11-28,26754.361872146124
2020-11-29,25075.11529680365
2020-11-30,29612.71461187215
2020-12-01,29709.655251141554
2020-12-02,30083.888127853883
2020-12-03,30968.861872146124
2020-12-04,31111.49429223744
2020-12-05,28332.82420091324
2020-12-06,26426.8493150685
