,ESP,BRA,LUX,GER,AUS
2020-01-01,22749.52397260274,55746,374.1666666666667,43989.0,6325.791666666667
2020-01-02,28531.12100456621,64440,460.875,53865.75,7256.833333333333
2020-01-03,29669.235159817355,63196,395.25,55655.25,7539.166666666667
2020-01-04,27320.9200913242,60802,394.7916666666667,52640.625,7089.75
2020-01-05,25808.518264840186,57260,421.7083333333333,47989.625,6685.333333333333
2020-01-06,25026.545662100456,67547,522.125,56631.208333333336,6801.666666666667
2020-01-07,31303.272831050228,71357,512.2083333333334,62598.25,8363.875
2020-01-08,32459.929223744293,71841,507.5416666666667,63837.916666666664,8496.416666666666
2020-01-09,32665.849315068488,73055,458.5,63063.916666666664,8407.25
2020-01-10,32490.05365296804,73661,483.2083333333333,61985.583333333336,8358.583333333334
2020-01-11,29182.559360730596,67456,456.375,53821.833333333336,7374.416666666667
2020-01-12,27677.25228310502,61742,388.3333333333333,51498.958333333336,6993.625
2020-01-13,33154.590182648404,71369,502.5,62784.083333333336,8556.791666666666
2020-01-14,33466.33219178082,72573,450.8333333333333,65459.125,8838.458333333334
2020-01-15,33018.897260273974,74295,453.25,64175.0,8875.583333333334
2020-01-16,32666.519406392697,75609,507.2083333333333,62696.125,8725.541666666666
2020-01-17,32143.92579908676,71852,489.2083333333333,62958.875,8669.5
2020-01-18,28807.734018264844,64074,442.2083333333333,54262.458333333336,7744.25
2020-01-19,27220.755707762553,59082,430.4166666666667,50225.75,7226.208333333333
2020-01-20,33545.912100456626,70081,523.75,62279.083333333336,8790.958333333334
2020-01-21,34390.26484018265,71751,563.4166666666666,64802.416666666664,8868.625
2020-01-22,33593.78767123288,70320,560.2083333333334,64905.375,8806.083333333334
2020-01-23,33032.71461187215,68883,580.0,64535.291666666664,8681.041666666666
2020-01-24,32603.700913242013,68210,595.8333333333334,63734.791666666664,8658.041666666666
2020-01-25,28989.97146118722,63181,495.3333333333333,55381.125,7583.708333333333
2020-01-26,26710.546803652967,59024,429.125,50548.5,7064.416666666667
2020-01-27,31960.22146118721,71201,479.4583333333333,63497.666666666664,8478.833333333334
2020-01-28,31969.378995433795,73240,481.25,65414.333333333336,8651.5
2020-01-29,31419.986301369863,73866,488.7083333333333,65820.29166666667,8690.208333333334
2020-01-30,30887.26255707763,74138,501.75,65489.125,8496.791666666666
2020-01-31,30365.195205479453,74099,469.8333333333333,63084.458333333336,8129.875
2020-02-01,26891.04223744292,68001,374.7916666666667,53089.125,6841.5
2020-02-02,24821.94292237443,61497,369.2083333333333,49550.0,6458.583333333333
2020-02-03,28915.63470319634,71539,474.2083333333333,62857.958333333336,8104.083333333333
2020-02-04,29555.801369863013,72477,492.0416666666667,64981.166666666664,8406.25
2020-02-05,29939.85616438356,72593,544.3333333333334,63840.208333333336,8577.291666666666
2020-02-06,30398.648401826493,72333,568.5833333333334,63983.583333333336,8562.75
2020-02-07,30582.284246575335,72045,525.25,63085.208333333336,8351.375
2020-02-08,27562.086757990874,65859,451.4166666666667,53674.458333333336,7273.625
2020-02-09,25694.178082191782,60182,370.3333333333333,49429.5,6725.416666666667
2020-02-10,29747.909817351603,69925,451.375,62532.916666666664,8180.166666666667
2020-02-11,30203.05365296804,69322,458.6666666666667,65538.83333333333,8371.208333333334
2020-02-12,30371.76712328767,69107,489.3333333333333,65721.125,8468.416666666666
2020-02-13,30123.86757990867,69139,504.0416666666667,65830.33333333333,8410.541666666666
2020-02-14,29948.70205479453,70367,501.5,63523.833333333336,8194.416666666666
2020-02-15,26724.687214611877,66505,392.9166666666667,53308.291666666664,6991.083333333333
2020-02-16,24857.429223744293,61823,345.125,49462.833333333336,6616.125
2020-02-17,29269.735159817348,73955,440.0833333333333,61892.333333333336,7953.958333333333
2020-02-18,30264.74771689498,76128,464.0,64215.25,8069.583333333333
2020-02-19,30253.79680365297,76014,465.9583333333333,63474.666666666664,8394.666666666666
2020-02-20,30190.55251141552,75454,465.375,63070.458333333336,8299.958333333334
2020-02-21,29745.978310502276,72992,467.625,62440.625,8129.583333333333
2020-02-22,26519.527397260274,63738,372.7083333333333,53779.791666666664,6927.0
2020-02-23,24440.16894977169,56500,344.625,49630.166666666664,6528.958333333333
2020-02-24,28958.754566210053,61898,466.1666666666667,59950.666666666664,7975.875
2020-02-25,29409.085616438355,63383,447.5833333333333,61519.916666666664,8049.625
2020-02-26,29754.239726027397,69004,459.75,63108.666666666664,8412.375
2020-02-27,29664.813926940642,70103,517.9583333333334,64347.291666666664,8294.125
2020-02-28,28798.66552511415,69253,502.8333333333333,62435.958333333336,8288.083333333334
2020-02-29,26520.021689497717,63526,361.625,52748.375,7215.0
