,FRA
2020-01-01,144591.66666666666
2020-01-02,152146.04166666666
2020-01-03,146048.125
2020-01-04,141978.20833333334
2020-01-05,145123.79166666666
2020-01-06,166209.0
2020-01-07,156314.16666666666
2020-01-08,146803.75
2020-01-09,138637.25
2020-01-10,146724.04166666666
2020-01-11,140974.0
2020-01-12,138121.70833333334
2020-01-13,153999.41666666666
2020-01-14,146080.79166666666
2020-01-15,146217.5
2020-01-16,143383.70833333334
2020-01-17,148802.29166666666
2020-01-18,149933.375
2020-01-19,155953.79166666666
2020-01-20,177409.125
2020-01-21,181806.45833333334
2020-01-22,184030.45833333334
2020-01-23,181530.20833333334
2020-01-24,175438.83333333334
2020-01-25,158848.41666666666
2020-01-26,145861.375
2020-01-27,155664.125
2020-01-28,161520.66666666666
2020-01-29,156558.75
2020-01-30,149257.25
2020-01-31,130910.54166666667
2020-02-01,113223.95833333333
2020-02-02,108008.54166666667
2020-02-03,124835.125
2020-02-04,144861.875
2020-02-05,155245.5
2020-02-06,161732.75
2020-02-07,154957.75
2020-02-08,132980.41666666666
2020-02-09,121195.45833333333
2020-02-10,131630.95833333334
2020-02-11,143246.83333333334
2020-02-12,153182.29166666666
2020-02-13,153002.95833333334
2020-02-14,140652.125
2020-02-15,118152.66666666667
2020-02-16,108525.41666666667
2020-02-17,132562.75
2020-02-18,140652.25
2020-02-19,146019.75
2020-02-20,143607.0
2020-02-21,144298.54166666666
2020-02-22,122519.75
2020-02-23,113069.45833333333
2020-02-24,125873.125
2020-02-25,137230.125
2020-02-26,156839.375
2020-02-27,160609.79166666666
2020-02-28,149616.875
2020-02-29,124159.58333333333
2020-03-01,125466.25
2020-03-02,152562.54166666666
2020-03-03,158181.5
2020-03-04,153673.5
2020-03-05,146775.20833333334
2020-03-06,152067.125
2020-03-07,133616.58333333334
2020-03-08,123820.625
2020-03-09,141326.625
2020-03-10,132622.125
2020-03-11,121342.41666666667
2020-03-12,125031.16666666667
2020-03-13,131839.54166666666
2020-03-14,119864.08333333333
2020-03-15,106483.08333333333
2020-03-16,125559.33333333333
2020-03-17,116042.375
2020-03-18,105246.125
2020-03-19,97515.5
2020-03-20,92998.125
2020-03-21,97355.41666666667
2020-03-22,100815.20833333333
2020-03-23,109574.0
2020-03-24,111780.08333333333
2020-03-25,113571.54166666667
2020-03-26,114993.95833333333
2020-03-27,109205.5
2020-03-28,94641.29166666667
2020-03-29,108061.95652173914
2020-03-30,125270.75
2020-03-31,120378.58333333333
2020-04-01,112466.79166666667
2020-04-02,107017.33333333333
2020-04-03,100930.625
2020-04-04,87169.125
2020-04-05,76483.08333333333
2020-04-06,81794.25
2020-04-07,78985.41666666667
2020-04-08,74754.66666666667
2020-04-09,71969.54166666667
2020-04-10,68488.66666666667
2020-04-11,63024.166666666664
2020-04-12,61269.166666666664
2020-04-13,67757.375
2020-04-14,81637.0
2020-04-15,79908.25
2020-04-16,73370.16666666667
2020-04-17,69367.29166666667
2020-04-18,63574.041666666664
2020-04-19,64242.625
2020-04-20,72009.0
2020-04-21,73680.41666666667
2020-04-22,73096.125
2020-04-23,71124.125
2020-04-24,68750.33333333333
2020-04-25,63629.458333333336
2020-04-26,63057.958333333336
2020-04-27,70527.91666666667
2020-04-28,74394.83333333333
2020-04-29,76997.79166666667
2020-04-30,79237.875
2020-05-01,71743.45833333333
2020-05-02,70795.875
2020-05-03,67500.45833333333
2020-05-04,73110.79166666667
2020-05-05,76612.16666666667
2020-05-06,75621.0
2020-05-07,73655.25
2020-05-08,62869.333333333336
2020-05-09,59664.041666666664
2020-05-10,58763.958333333336
2020-05-11,76953.54166666667
2020-05-12,89143.33333333333
2020-05-13,92551.41666666667
2020-05-14,88687.16666666667
2020-05-15,84505.79166666667
2020-05-16,70684.25
2020-05-17,64892.541666666664
2020-05-18,72252.70833333333
2020-05-19,75156.20833333333
2020-05-20,75218.83333333333
2020-05-21,62627.958333333336
2020-05-22,62519.666666666664
2020-05-23,59160.208333333336
2020-05-24,57931.166666666664
2020-05-25,69152.33333333333
2020-05-26,71780.29166666667
2020-05-27,71813.375
2020-05-28,70343.5
2020-05-29,69551.79166666667
2020-05-30,59776.0
2020-05-31,55593.666666666664
2020-06-01,59021.416666666664
2020-06-02,71676.04166666667
2020-06-03,74695.70833333333
2020-06-04,75444.33333333333
2020-06-05,70407.70833333333
2020-06-06,61937.458333333336
2020-06-07,60573.375
2020-06-08,76237.33333333333
2020-06-09,80126.875
2020-06-10,80498.33333333333
2020-06-11,79929.5
2020-06-12,78157.79166666667
2020-06-13,66462.75
2020-06-14,61085.791666666664
2020-06-15,75255.58333333333
2020-06-16,78314.04166666667
2020-06-17,78354.625
2020-06-18,78477.16666666667
2020-06-19,77338.20833333333
2020-06-20,67859.375
2020-06-21,60353.541666666664
2020-06-22,74624.58333333333
2020-06-23,77322.58333333333
2020-06-24,77179.875
2020-06-25,78044.16666666667
2020-06-26,76065.75
2020-06-27,66139.58333333333
2020-06-28,59573.666666666664
2020-06-29,73742.875
2020-06-30,76813.625
