"BehaviorSpace results (NetLogo 6.2.0)"
"cluster-geo.nlogo"
"baseline-run"
"06/30/2021 11:35:15:521 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","no-gui?","initial-density-ratio","Locality","InitialGeography","debug-setup","debug?","[step]","geral-house-price-mean"
"6","true","70","2","Gradient","none","false","0","3.028965517241379"
"6","true","70","2","Gradient","none","false","1","2.9417380972452367"
"1","true","70","2","Random","none","false","0","4960.894685990338"
"6","true","70","2","Gradient","none","false","2","2.9322149851603174"
"6","true","70","2","Gradient","none","false","3","2.9312821735165167"
"6","true","70","2","Gradient","none","false","4","2.931405268045892"
"4","true","70","2","Random","none","false","0","4765.923547400612"
"1","true","70","2","Random","none","false","1","4981.382162277289"
"6","true","70","2","Gradient","none","false","5","2.9317063401435504"
"3","true","70","2","Random","none","false","0","4861.628019323672"
"6","true","70","2","Gradient","none","false","6","2.9320505210859222"
"2","true","70","2","Random","none","false","0","4854.0225442834135"
"6","true","70","2","Gradient","none","false","7","2.932391252130531"
"4","true","70","2","Random","none","false","1","4578.138756443026"
"1","true","70","2","Random","none","false","2","4969.135873118886"
"6","true","70","2","Gradient","none","false","8","2.932703559025265"
"6","true","70","2","Gradient","none","false","9","2.9330617495546045"
"5","true","70","2","Random","none","false","0","5062.498630136986"
"3","true","70","2","Random","none","false","1","4623.3829221001015"
"6","true","70","2","Gradient","none","false","10","2.933358159173691"
"4","true","70","2","Random","none","false","2","4538.602600021906"
"6","true","70","2","Gradient","none","false","11","2.93369938135834"
"1","true","70","2","Random","none","false","3","4967.7909539107095"
"1","true","70","2","Random","none","false","4","4963.353074540402"
"6","true","70","2","Gradient","none","false","12","2.934091197171805"
"6","true","70","2","Gradient","none","false","13","2.934419211824315"
"6","true","70","2","Gradient","none","false","14","2.9347704997961546"
"6","true","70","2","Gradient","none","false","15","2.9351168044321727"
"1","true","70","2","Random","none","false","5","4957.301577569189"
"4","true","70","2","Random","none","false","3","4528.405570882525"
"6","true","70","2","Gradient","none","false","16","2.9354897184636086"
"3","true","70","2","Random","none","false","2","4584.449231903463"
"6","true","70","2","Gradient","none","false","17","2.935840927586576"
"1","true","70","2","Random","none","false","6","4951.18014427292"
"6","true","70","2","Gradient","none","false","18","2.936246046632563"
"6","true","70","2","Gradient","none","false","19","2.936570372619236"
"4","true","70","2","Random","none","false","4","4525.928760485604"
