,EQUITY,REFI,VARINT,BANKR,CGSELL,DIFFT,DMORT
AUS,1.0,1.0,,,,,0.009546184466584921
BEL,0.0,0.0,0.0,1.0,0.0,0.0,-0.2358590193313525
CAN,1.0,0.0,1.0,,,,-0.026083244503438126
DNK,1.0,1.0,0.0,,,,0.2853146766475264
FIN,1.0,0.0,1.0,1.0,0.0,0.0,-0.21290468018060554
FRA,0.0,0.0,0.0,1.0,0.0,1.0,-0.13774515571345708
DEU,0.0,0.0,0.0,1.0,0.0,1.0,-0.15958814912983196
ITA,0.0,0.0,1.0,0.0,0.0,1.0,-0.13112001378009722
JPN,0.0,0.0,0.0,,,,-0.3213932602856874
NLD,1.0,1.0,0.0,1.0,0.0,0.0,-0.04597842365409
NOR,1.0,0.0,1.0,,,,0.17925852978283402
ESP,1.0,0.0,1.0,0.0,1.0,1.0,-0.0792993821550515
SWE,1.0,1.0,1.0,,,,0.2337296511948649
CHE,,,,,,,0.6025623110873929
GBR,1.0,1.0,0.0,,,,0.035525343504430325
USA,1.0,1.0,1.0,,,,0.2553451488299174
