Country,Mortgage Equity Withdraw,Refinancing,Prevailing type of mortgage rate,Personal bankrupt,Capital gains tax on selling,Different treatment
not found,,,,,,
AUS,1.0,1.0,,,,
AUT,0.0,0.0,1.0,1.0,0.0,0.0
BEL,0.0,0.0,0.0,1.0,0.0,0.0
CAN,1.0,0.0,1.0,,,
DNK,1.0,1.0,0.0,,,
FIN,1.0,0.0,1.0,1.0,0.0,0.0
FRA,0.0,0.0,0.0,1.0,0.0,1.0
DEU,0.0,0.0,0.0,1.0,0.0,1.0
GRC,0.0,0.0,1.0,0.0,1.0,0.0
IRL,1.0,0.0,1.0,1.0,0.0,1.0
ITA,0.0,0.0,1.0,0.0,0.0,1.0
JPN,0.0,0.0,0.0,,,
NLD,1.0,1.0,0.0,1.0,0.0,0.0
NOR,1.0,0.0,1.0,,,
ESP,1.0,0.0,1.0,0.0,1.0,1.0
SWE,1.0,1.0,1.0,,,
CHE,,,,,,
GBR,1.0,1.0,0.0,,,
USA,1.0,1.0,1.0,,,
